p53 CDE+,p53 CDE-,VHL CDE+,VHL CDE-,KRAS CDE+,KRAS CDE-
TAF8,CDKN1A,AP4E1,BHLHE40,GREM2,ID1
FAF1,SLC4A8,CRYBB1,ARCN1,GUCA2B,SLC6A12
HSPA14,MS4A1,E2F7,GLIS3,HDAC1,TAF13
OR2T35,TAP2,EIF5A,,INSIG1,ELF2
UCHL3,CCDC51,ELK3,,KRTAP10-10,CCDC58
QRICH1,OMP,OR2AT4,,TSC22D4,ERGIC2
UBFD1,FAM181B,PGAM1,,TSPAN32,ERP44
TERF1,GINS4,RASA1,,ATOH8,FILIP1L
SPTY2D1,GRIA2,TMEM19,,RD3,GLG1
THUMPD1,IL23R,WDR37,,GSTM1,RFWD3
EHMT1,PAM,ZNF18,,KRTAP4-12,C14orf28
SRI,PSMB2,DMWD,,IFI6,LIG4
NCL,ZNF664,FBXW10,,NAGK,NOSTRIN
KNTC1,DEPDC1B,ISX,,GRPEL2,DCT
TAF1D,LILRB3,RAI1,,CR1,DNAJC5B
KIAA1524,PPP2R5A,SMARCD1,,EMX2,NT5C3A
KRTAP19-3,SLC2A4,PAK1,,KIF17,RNF17
RAB26,ATE1,ZCRB1,,MAPK9,TMCO3
BRIP1,MCM6,YBEY,,RPL15,ZNF12
SLC31A1,NFIX,ATF7IP,,OPRD1,PIGB
STAT5A,POLR3B,DCN,,BAIAP2L2,SFR1
WRN,TBCD,LUM,,ALOX5AP,CEP89
DDX31,ZNF44,FLII,,BOK,ERMN
WDR74,C9orf3,SIPA1L3,,FAM216A,PARP8
ZNF668,ESCO1,USP22,,RRAS2,SEMG2
CDAN1,KCNJ16,STX8,,RSPO1,IGSF10
NTAN1,RAPGEF3,VHL,,TACSTD2,BMF
EEF1D,TRPS1,ACTL6A,,KISS1,CCDC178
URGCP,FBXO42,ETS1,,C5orf52,GNPNAT1
CYP2A13,DHX15,APPL2,,LRRTM1,GOLGA8M
DAZAP1,NSF,OR51E2,,AMPD2,MAP3K2
GRIN2A,CSH1,ANKRD12,,EPHB4,TAS2R13
HEATR1,CCT3,MFAP4,,HIST3H2A,ZNF205
MZF1,E2F7,DESI1,,ELAVL4,ZNF730
EXO1,CX3CR1,HNRNPUL1,,CDKN1C,DUOXA2
BRAP,ISCU,MSMO1,,LAMA4,CDX2
OR2T2,KERA,SLC25A35,,NUP210,GNPDA2
PDXK,KRT40,SRSF6,,PCGF1,SLC16A12
PAPOLA,SLC10A2,ALDH3A1,,PDE4B,CYLD
ZWILCH,SULT1C4,HNRNPD,,PRSS57,PLCB4
HIST1H4K,C1QL2,NOP2,,C6orf223,ZNF253
CEP295,ITGB7,SUN2,,FN1,PROSER1
NDUFA5,MTBP,TNRC6B,,NPTX2,TSTA3
C11orf58,DNAJC18,USP14,,RIMS3,ACTL7A
ARHGEF5,GPD1,C2CD2,,RCN2,BMPR1A
CASKIN1,RBM33,AP1B1,,AP2A2,CLEC12A
NDUFB6,RGPD4,DPF2,,TMEM173,FMNL1
RBM34,STXBP3,KRIT1,,FAM71F1,KIF3B
SLC27A5,CCDC122,CYLD,,IRX1,LEO1
SURF2,MFSD5,OLA1,,TCF15,PDPR
WDR75,SORBS1,SMCO3,,AGAP3,TMSB10
ZNF425,XAB2,TIMM44,,FCAR,TRAF7
ZNF417,CCSER2,ESCO1,,KCNAB1,YEATS2
NAF1,RAD52,TADA3,,LHCGR,ZDHHC19
PSME3,POLR3F,CCDC6,,IGFBP2,ZNF705A
RAB40B,YIPF1,GNB1L,,CLDN23,COX6A2
NDUFC1,POLR2G,MAFF,,DLG2,TPTE2
RPS3,ANAPC10,NF2,,PLXNB2,ZNF519
SRFBP1,ZNF331,SOX21,,GADD45A,CFLAR
FDX1,NAPA,C16orf87,,FBXO2,XYLT1
MSRB1,ANAPC11,ZNF148,,NR1I2,KIF16B
OR2T33,EIF3C,ENTPD4,,MYOZ3,UROD
SERF2,PPP1R3C,SFSWAP,,CDHR2,FARP1
DDX21,CCDC6,TRIM16L,,GJA4,BORA
AGBL3,TMEM19,PPP4R1,,ARHGEF1,TF
FGFR1OP,PELI1,CCDC58,,FRS2,EPHA3
PSPC1,DYNC1I2,ACO2,,GAD2,HADHA
LPA,PHF5A,BLVRB,,MGST2,8-Mar
YWHAE,RSF1,DDX39B,,RUFY2,TATDN1
CACYBP,VPS4B,LOXL2,,IDUA,ZNF654
CPNE7,AGTPBP1,POLD2,,DEDD2,GNG13
FTCD,FRMD3,CTPS1,,PLEKHA4,CSGALNACT2
GAR1,HRH2,UBE2V1,,NPAS2,LATS1
GPATCH2,OR10Z1,BPTF,,CYP2D6,OLFM4
HIST1H2AB,POLR3G,BRD9,,DYNC2H1,UGT2B7
IFNA4,SEC13,CLEC12A,,PTGIR,CCDC113
PRRC2C,UBE2E2,CNTROB,,KLHL21,SLC9B1
RPL27A,DMGDH,FGF7,,CELA3B,CPNE3
TRMT1L,FAM49A,KIF1C,,HIVEP1,ITGAM
WDR48,FRS2,LIMK2,,GRIN1,CBLN1
ZNF688,FADS1,LMAN1L,,PANX2,CCDC25
TAF3,OR2T4,MED13,,PNPLA5,SDHC
FANCG,SLC16A10,MYH8,,ABL2,CCNT2
NDUFA2,PTPRC,PICK1,,ANKRD37,HLA-C
CCP110,KLHDC7A,RANGAP1,,ASAP2,IL12RB2
CDH15,KRT20,RFC2,,EVPL,ENTHD1
CCNG1,LMAN1,SLC37A1,,FHL3,SMG5
DBNDD1,PAH,TAS2R14,,FOXE3,ACRBP
DUSP22,PCDHGB7,TRIP4,,GCDH,BLK
GBA2,PTPRK,UBXN2A,,GH1,SENP6
H2AFX,SLC22A11,ZMAT5,,MYCN,USF2
MAPRE1,SLC7A4,ZNF669,,MYOG,KMT2B
POP7,USP49,ASCC3,,UBALD2,TTF1
LANCL1,GINS1,CRLS1,,APOPT1,ZKSCAN2
CPED1,IL37,SRP19,,C5orf46,SERPINB7
DNAJA1,NOD2,TRMT10A,,TMPRSS9,ST3GAL6
NMRAL1,TOM1L2,ADORA2A,,LRP10,AREL1
ZNHIT6,ATP8B4,SAMSN1,,NAPA,CPQ
BAIAP3,CARS,ZNF586,,MXRA8,GRB10
NDUFB8,CCDC167,HEBP1,,ANKRD53,LCN8
COMMD8,FOSL1,MFAP1,,ATXN7L2,SARNP
ZNF705A,GTF2H2,ZNF286A,,CYR61,TTC14
MAZ,GTF2H2C,HPS4,,LRRFIP1,SPOPL
NDUFB10,KRT39,NKAIN4,,POU4F2,TP53I3
ZBTB45,MAPK9,RBAK,,REG3A,NANP
RPL36AL,MBD3L1,CLEC7A,,MAP2K2,BPIFB3
ZNF771,MDGA2,DHX40,,CCNG2,KBTBD12
TWISTNB,OMD,H1FOO,,CYB5R1,ARHGAP31
HIST1H1D,SMCO3,HSPB1,,HSBP1L1,MYO10
COX5A,ULK4,HTN1,,LMX1A,SURF6
NDUFS2,VPS4A,JPH2,,PIP5K1B,ADAM32
RRAGA,CSNK2A2,MIA,,PLA2R1,BCAR1
SLC25A3,HSPA2,NR2C2AP,,ASB1,CCDC180
RP1L1,LRRC7,PPP6R3,,ULK4,KAT8
OR3A3,LUM,FYN,,DBNDD2,PRR3
TNFRSF12A,C10orf120,KIF2A,,NRGN,SLC1A2
COX17,GREB1L,PGS1,,RAI1,STIM1
CSH2,ODAM,SREK1,,MYCL,STX8
NDUFAF1,REG4,ZNF217,,PDLIM5,TMTC1
MEF2A,CRISPLD1,GEMIN4,,PRM2,ZNF75A
PKD1,KRT34,SETDB1,,SPDEF,CAMKK2
CCNL1,NT5DC3,APOL1,,DEGS1,FAM207A
USP38,EHBP1,EIF3K,,GMCL1,HORMAD1
RPL6,SH2B3,FNIP1,,PPP1R3G,MIA2
ZNF587,GUK1,F2RL1,,PRKCH,OR1A1
KRTAP4-4,ELOVL7,OPA1,,RNF135,TASP1
FBXL6,DBNDD2,PVR,,CGREF1,FGF9
NOM1,DAPK1,RAF1,,LRP11,PKNOX1
MPLKIP,AMPD2,RNF141,,NOG,B4GALT4
LIPT1,NKD1,SLC25A19,,PDZRN3,CA8
RPS8,SNAPC4,TXNL4B,,SPAST,DNAH9
GATAD2A,HIGD1B,VEZT,,TMEM207,IMPDH2
NEDD4L,ASCC2,RTCB,,TMEM65,IYD
CHTF18,LZTS2,SPECC1,,MAPK8IP1,GZMH
NELFA,RFESD,ATAD5,,PTGER1,C3orf56
RPL27,UBE2K,CELSR1,,TMEM14C,CPD
ULBP2,NEUROD4,FBXO39,,A1CF,NPM1
ERCC6L2,LSM7,FXYD5,,SSUH2,YPEL4
TTC14,USP44,SLC6A15,,TTC12,IL17RE
APOC1,LLGL1,SUPT20H,,MAGOHB,COCH
CTDSP2,PCDHB1,XPNPEP3,,ABTB2,NSMAF
ANKRD49,UBA6,RACGAP1,,GIPC1,DDX52
EIF4EBP1,RAP1GAP2,DSG4,,EFNA3,SND1
FANCA,FUBP3,HLTF,,GBX2,TAL2
HIST1H4E,GOLT1A,ZFP42,,HTR1A,SDHAF2
ORAI3,ZBTB26,ZNF561,,OBSCN,GYS2
IFNA1,ZC3H6,HIC2,,PURB,DPPA2
PAGR1,ACVR1B,TOMM20,,SOX1,RCBTB2
ZMYND8,AFM,FAM149A,,FEM1B,UBA2
COQ4,AREG,ISCA1,,AMDHD1,ADPRH
ZDHHC2,CYP27C1,SH2B3,,ATAD3A,ATRN
GDE1,CYSTM1,SIGLECL1,,BST1,C14orf119
DEFB4A,GAL3ST3,TPK1,,FLNC,FNBP4
YY1,GKN2,NR2F2,,RNF144A,DHODH
PIGX,KCNAB2,ADD1,,SCARF1,KCNRG
ZNF695,MUT,CEP55,,SLC35B4,LYN
RPL34,NARS,UROD,,TCTA,TBPL2
PRSS3,NCOA7,POLK,,ZNF534,WFDC9
CWF19L2,SACM1L,RAD50,,ARHGAP10,LENG8
FLT3LG,SPTB,BIRC2,,OR51D1,TIPARP
POLE4,ST3GAL5,CCDC117,,PNMA1,HELLS
ZC3H3,TMEM117,GRAP,,ARFGAP3,ARID3C
RPL23,ZFP2,IKBIP,,S1PR3,RAP1B
FNTB,ZNF2,FAM118B,,NEUROG1,NEK5
VCPKMT,GOLGA8O,IBSP,,F2RL3,ATAD5
ZNF277,HAL,ANGPTL5,,HSPB1,MMAA
STRA8,UBL5,CBS,,RIMKLA,CDH5
AGXT,DDAH2,CCNC,,MSRA,PLEKHA5
GPC6,GPX3,FAM172A,,TMEM246,RFC4
PDSS2,TUBAL3,FIGNL1,,MYOD1,RDM1
KRTAP4-2,CHRM1,NKIRAS2,,CBLN2,SDHD
SDCBP,ANKRD28,TBC1D28,,TRIM24,WFDC3
MINOS1,HIF1A,ITPR2,,ACSBG1,CD48
PWP1,TAS2R42,SEC14L1,,OSR1,ZBTB3
CHMP4C,LPXN,SENP8,,TBC1D26,XRCC2
NDUFA8,CCNB1,TRIM60,,TMEM236,FAM105A
CGB5,FBXO38,VDAC3,,DRAXIN,SAR1B
BUD13,POTEE,BIVM,,KDM2B,ZNF232
RPF1,COLEC10,DCLRE1C,,KLF2,NUDCD3
ZW10,IL18RAP,GARS,,PNP,DYNLL1
OR2C3,MCHR2,MAU2,,YTHDC2,CMTM2
AAMP,TNFRSF11B,MED15,,UTF1,NDUFAF5
ANKRD17,DYSF,URB2,,ZNF57,SLC6A6
PIM3,EIF4A3,ATG10,,CLEC3B,NUP93
PON1,ALDH4A1,CHN1,,GLIS1,CRLS1
SDHD,,DLC1,,OR2D3,CTSA
ZNF574,,ENKUR,,RAB38,ARL2BP
CHRAC1,,KEAP1,,RHOV,BLOC1S2
CR1,,LGALS13,,CDR2L,DSTN
ZG16,,SPATS2L,,ADM,KLRG1
BCL2L12,,TFF1,,ADPRHL2,KRT28
PPP4R2,,ZNF112,,FZD9,MAP2K5
PRAMEF6,,DNAJA3,,MPP4,NKX2-5
KTI12,,PRPSAP2,,TFAP2E,AMN1
OR2L5,,C12orf66,,EN1,SLC32A1
POLR1E,,C8orf37,,GALR2,ZUFSP
SPHK2,,DCTN5,,TFF2,ADAT1
APTX,,HMGXB4,,CYSTM1,DMXL2
ATP5I,,MCM8,,DGUOK,ELOVL3
CCNT1,,NDST4,,LRRC71,FABP4
NLRP13,,PMCH,,PRTN3,FGG
KIAA0513,,PPIG,,CRYAA,KRTAP4-2
FAM57B,,KAT6A,,MIXL1,POP1
ITSN2,,APOBEC3G,,PTK6,PREX1
SETD1A,,BRAF,,CAPN2,11-Sep
EFCAB2,,CEP57,,FABP2,TMEM19
CDK5,,KLRC1,,RFX4,TMX2
C20orf24,,MFSD6L,,SNAP47,TRIM49C
PHKG1,,MRPS35,,EOGT,DYNC2LI1
MORF4L1,,MYH1,,NFE2L1,VPS39
