Gene,WT q-value,WT log2 fold change,KRas mutant q-value,KRas mutant log2 fold change,Synthetic Lethal Score
PSMG3,0.0238,-2.76337621,0.000236,-3.347102709,0.583726499
GINS2,0.026745,-2.448319143,0.000236,-3.001632373,0.55331323
SON,1,-0.888958455,0.000236,-1.874910958,0.985952503
MED11,0.06103,-1.766617446,0.001172,-2.425792789,0.659175343
EXOSC6,0.300612,-1.115308836,0.047546,-1.711818349,0.596509513
RPS5,0.6477,-1.235004849,0.024624,-1.777147144,0.542142295
RPL7A,0.844799,-1.028232844,0.000236,-1.916400246,0.888167402
BRF2,0.804419,-0.844266804,0.009661,-1.96294322,1.118676416
CDT1,1,-1.080215117,0.081589,-1.590418753,0.510203636
C16orf72,0.84906,-0.816448967,0.099392,-1.380003512,0.563554545
WDR43,0.078295,-1.505011134,0.000236,-2.011426425,0.506415291
EIF2B1,1,-0.883034272,0.004625,-1.696382133,0.813347861
C21orf59,0.324211,-1.700107525,0.005195,-2.496087546,0.795980021
RFC2,0.548648,-1.326625312,0.020101,-1.827383435,0.500758123
MOB4,1,-1.030644473,0.033832,-2.026138898,0.995494424
FAM50A,0.252865,-0.856484563,0.007888,-2.078262661,1.221778098
FAM86B2,0.656186,-0.802181007,0.014213,-1.530560095,0.728379088
SPATA5L1,1,-1.034689142,0.057498,-1.563506888,0.528817746
PYROXD1,0.263949,-1.064377246,0.017747,-1.568674346,0.5042971
TPT1,0.829774,-0.638430744,0.079749,-1.68697898,1.048548236
SF3A2,0.299763,-1.115374847,0.00389,-1.97933551,0.863960663
PRELID1,0.343123,-1.454646246,0.068327,-1.967247395,0.512601149
TINF2,1,-1.123784155,0.099392,-1.938555736,0.814771581
SNAPC5,0.14794,-1.102604952,0.004625,-1.981239603,0.878634651
RPL24,0.001622,-1.375212625,0.003548,-1.952698291,0.577485666
FBL,1,-0.601924819,0.081406,-1.368267571,0.766342752
MRTO4,0.657978,-1.063207193,0.088314,-1.567038028,0.503830835
AQR,0.684653,-1.719873584,0.010975,-2.398257342,0.678383758
NOL6,1,-1.092224898,0.005136,-1.763851593,0.671626695
CENPW,0.606164,-0.966827213,0.010615,-1.876056866,0.909229653
RPL35,0.476257,-1.160379527,0.055505,-1.751855699,0.591476172
YRDC,0.082247,-0.405398324,0.011646,-1.004853714,0.59945539
RFT1,0.466366,-0.832033869,0.018367,-1.535128167,0.703094298
NCBP2,0.800362,-0.32370842,0.00315,-1.007815127,0.684106707
WDR4,1,-0.130942255,0.066892,-1.116494096,0.985551841
ZNHIT6,0.651871,-0.629361671,0.00315,-1.882093762,1.252732092
NOP2,0.816771,-1.112888518,0.043427,-1.859395457,0.746506939
SNRNP25,1,-0.758917969,0.071291,-1.653527992,0.894610023
U2AF2,0.485849,-0.207220049,0.009356,-0.987844748,0.780624698
ELP5,0.092461,-0.945626132,0.016389,-1.695925348,0.750299216
