Gene,WT q-value,WT log2 fold change,KRas mutant q-value,KRas mutant log2 fold change,Synthetic Lethal Score
SMC3,0.90033,-0.696201974,0.55232,-4.625661999,3.929460025
NAA11,0.999996,-1.560105339,0.999998,-5.468364365,3.908259026
DTYMK,0.999996,-0.064629145,0.003387,-3.318977841,3.254348697
SEC23B,0.624236,-1.016601106,0.049296,-4.240713735,3.22411263
GGPS1,0.18454,-2.047564102,0.09279,-5.212093679,3.164529577
DHX9,0.050352,-1.984690638,0.05149,-4.948158161,2.963467523
NMBR,0.999996,-1.505532212,0.999998,-4.332587103,2.82705489
GMPS,0.449007,-0.675123979,0.444437,-3.279619209,2.60449523
POLE2,0.089552,-1.656043881,0.109009,-4.236788208,2.580744326
FBXO5,0.792702,-0.392568831,0.586708,-2.890986257,2.498417427
KRIT1,0.999996,-2.240097067,0.999998,-4.561488496,2.321391429
EIF4A3,0.108402,-2.176385457,0.101073,-4.440828646,2.264443189
LARP7,0.999996,-2.287950166,0.999998,-4.521350797,2.233400631
EIF2S1,0.596966,-2.241949398,0.614114,-4.438904425,2.196955027
EIF5,0.552744,-2.36470222,0.727822,-4.539184109,2.174481889
HSPA9,0.013144,-3.331015979,0.019286,-5.470635309,2.139619331
RPL37A,0.042245,-2.102328389,0.055049,-4.225635642,2.123307253
DNM1L,0.167628,-1.848988275,0.053876,-3.946573464,2.097585189
CLP1,0.018603,-1.99187582,0.008448,-4.073995699,2.082119879
RFESD,0.999996,-2.238125567,0.999998,-4.297110002,2.058984435
DHFR,0.039521,-3.629332012,0.028588,-5.662784663,2.033452651
EPRS,0.455893,-2.613834042,0.167933,-4.644421233,2.030587191
SNAPC4,0.048392,-2.501624554,0.017214,-4.520666283,2.019041729
HARS,0.018498,-3.032715528,0.007121,-5.025314853,1.992599326
NDC1,0.316423,-2.003677709,0.354529,-3.992333641,1.988655932
USP4,0.720103,-0.957183053,0.910012,-2.92721559,1.970032536
FAF2,0.628817,-1.304254251,0.06141,-3.268669167,1.964414916
DNM2,0.075071,-2.035392459,0.042244,-3.998917784,1.963525325
RRS1,0.014348,-2.824042647,0.011705,-4.766239747,1.9421971
KREMEN2,0.999996,-3.098214229,0.999998,-5.009943206,1.911728978
UFL1,0.999996,-1.276104845,0.999998,-3.180380424,1.904275579
CDK1,0.999996,-0.965582143,0.999998,-2.862962053,1.89737991
FDXR,0.009944,-2.191459677,0.004174,-4.080047633,1.888587955
RAD51AP1,0.999996,-2.294747301,0.999998,-4.180953076,1.886205775
POLR2G,0.101911,-1.69220725,0.04906,-3.560697849,1.8684906
PSMG4,0.058548,-1.833495068,0.018854,-3.699432108,1.86593704
DPH5,0.999996,0.223021886,0.877093,-1.634915706,1.857937592
GOLGA8O,0.632352,-1.324577988,0.138651,-3.177049527,1.852471539
SRP54,0.266616,-0.819931774,0.073393,-2.672152574,1.8522208
LSM5,0.284471,-2.091713792,0.257504,-3.940368944,1.848655153
SAMM50,0.007735,-2.186363523,0.003387,-4.018990105,1.832626582
MARS,0.013272,-1.59902033,0.017314,-3.428564694,1.829544364
ELAC2,0.085583,-1.849676286,0.022462,-3.669053836,1.819377551
SMC1A,0.128583,-1.825124481,0.061656,-3.631211802,1.806087321
RPL22,0.32774,-1.737518499,0.164324,-3.536640203,1.799121704
BIRC5,0.119398,-1.883460836,0.018486,-3.680746107,1.797285272
PRPF6,0.00918,-3.275418598,0.012298,-5.072587726,1.797169128
RPL8,0.015621,-3.072767261,0.00459,-4.864209636,1.791442375
ZBED3,0.999996,-1.65114366,0.999998,-3.440230692,1.789087032
N6AMT2,0.999996,-2.95376226,0.999998,-4.723234541,1.76947228
PPP4C,0.063535,-2.128278819,0.045763,-3.888261041,1.759982222
HSCB,0.003938,-2.392403604,0.004174,-4.145972183,1.753568579
TTI2,0.033853,-1.254013474,0.035665,-3.001069556,1.747056083
PPP1CC,0.999996,0.210554917,0.999998,-1.52872505,1.739279967
WDR74,0.001925,-1.336581534,0.003387,-3.074719344,1.73813781
SMC6,0.447164,-0.836593857,0.227633,-2.559738878,1.723145021
PPP6C,0.999996,-0.47467282,0.079659,-2.194681657,1.720008838
EIF1,0.127561,-1.963227798,0.061895,-3.681622253,1.718394455
MYH8,0.999996,-0.687113115,0.999998,-2.405156735,1.718043621
PRPF8,0.031612,-1.854009081,0.015847,-3.571609874,1.717600793
PGC,0.999996,-2.058131168,0.999998,-3.772776283,1.714645115
MTG2,0.014985,-1.156803537,0.04906,-2.870553354,1.713749817
ABCE1,0.196469,-1.337281135,0.24383,-3.042245287,1.704964152
PFKP,0.999996,-1.659066388,0.999998,-3.356477967,1.69741158
ATP6V0C,0.116276,-3.502482142,0.041045,-5.198309895,1.695827754
UBE2J1,0.999996,-2.749801405,0.999998,-4.442371651,1.692570246
ARHGEF35,0.571558,-1.826531258,0.603302,-3.515135281,1.688604023
COPE,0.143846,-1.3207941,0.028588,-2.998537795,1.677743696
NUP62CL,0.999996,-1.819822911,0.999998,-3.495062302,1.675239391
CPSF1,0.019354,-2.247800439,0.015736,-3.910878323,1.663077884
RAD1,0.999996,-2.013018785,0.999998,-3.669872092,1.656853307
SMNDC1,0.339784,-1.13077126,0.137987,-2.782560465,1.651789205
ALDOA,0.030288,-3.662990477,0.050372,-5.307130841,1.644140365
TYR,0.999996,-2.576813079,0.999998,-4.219526931,1.642713852
POLR2B,0.071008,-2.205378637,0.035815,-3.84352057,1.638141932
EIF3I,0.044823,-1.640297311,0.023848,-3.277984254,1.637686943
GSPT1,0.740599,-1.265442983,0.232292,-2.891956447,1.626513464
ANAPC4,0.182609,-2.389938244,0.302094,-4.016374297,1.626436052
CD96,0.999996,-0.080564015,0.999998,-1.698842309,1.618278295
RPL7,0.170631,-2.99195054,0.143449,-4.602931371,1.610980831
TBC1D3C,0.270066,-1.4424857,0.238012,-3.03303023,1.59054453
UBE2L6,0.999996,-1.276716581,0.999998,-2.857110142,1.580393561
ZNF726,0.999996,-0.451296805,0.999998,-2.025978743,1.574681939
EP400,0.50641,-1.192322751,0.204279,-2.765876975,1.573554224
KDSR,0.050248,-1.369971445,0.061681,-2.941268759,1.571297314
NEDD4L,0.999996,-1.322520139,0.999998,-2.88729225,1.564772111
UXT,0.15069,-1.456098225,0.195603,-3.016934538,1.560836313
GTF2E2,0.776707,-0.453244306,0.371505,-2.011823099,1.558578793
LUC7L2,0.999996,-1.419104281,0.999998,-2.972920554,1.553816273
EIF2B3,0.032999,-1.913495055,0.030444,-3.456694271,1.543199216
ERCC3,0.157434,-2.330248782,0.173745,-3.873339458,1.543090676
MAT1A,0.999996,-1.964706252,0.999998,-3.493063689,1.528357438
PPAT,0.194208,-2.351934602,0.266302,-3.879051385,1.527116783
NKX6-3,0.547594,-1.510504331,0.343549,-3.024785589,1.514281257
MOB3C,0.999996,-1.431177023,0.999998,-2.943340328,1.512163305
PAF1,0.080989,-1.379847582,0.079913,-2.878796387,1.498948805
DDX20,0.023927,-1.360878935,0.021591,-2.858597734,1.497718799
TMC1,0.999996,-0.316310225,0.938088,-1.805594239,1.489284014
GRPEL1,0.091771,-3.312854694,0.2179,-4.801340311,1.488485617
SEC13,0.006468,-3.112209434,0.012509,-4.598876715,1.486667281
RPL18,0.041126,-2.646495672,0.018854,-4.130460683,1.483965011
ATP5B,0.194298,-1.26880342,0.045994,-2.747184216,1.478380796
HMGCR,0.29034,-1.602534802,0.198669,-3.080179588,1.477644787
COX7B,0.352388,-1.211358381,0.301293,-2.685495591,1.47413721
MAK,0.999996,-1.86754863,0.999998,-3.341629335,1.474080706
SOD1,0.159805,-3.031894509,0.114803,-4.503616249,1.47172174
AAMP,0.184812,-1.696959666,0.091192,-3.166062962,1.469103296
MARK2,0.999996,-0.402318406,0.999998,-1.870570381,1.468251975
NBN,0.999996,-0.601610986,0.999998,-2.069685299,1.468074312
PARPBP,0.999996,-1.060514266,0.999998,-2.524473302,1.463959036
MVB12B,0.999996,-2.073828351,0.999998,-3.534556373,1.460728023
RUVBL1,0.126721,-3.011539217,0.068037,-4.468759655,1.457220438
MRPL46,0.007735,-1.758491203,0.009532,-3.213102205,1.454611002
TXNRD2,0.719106,-0.743940725,0.999998,-2.198038932,1.454098207
NRXN3,0.999996,0.272685,0.999998,-1.178762581,1.451447581
C5orf22,0.999996,0.001626369,0.999998,-1.448042417,1.449668786
AK6,0.353555,-1.362699706,0.068646,-2.812016548,1.449316842
NOP58,0.074462,-2.589812351,0.256837,-4.036881012,1.447068662
RNMTL1,0.96101,-1.366100482,0.30444,-2.808860324,1.442759842
