Plate,Well,Ensemble,KO A,WT A,KO B,WT B,z (KO A),z ( WT A),z (KO B),z (WT B)
HTplate01,A01,ENSG00000165309,3418,2987,2883,2595,0.97,1.53,-0.07,0.96
HTplate01,A02,ENSG00000181061,2630,2319,2981,1939,-0.96,0.19,0.18,-0.39
HTplate01,A03,ENSG00000125743,1345,740,1527,826,-4.10,-2.99,-3.58,-2.68
HTplate01,A04,ENSG00000022567,2549,1869,2585,1637,-1.15,-0.72,-0.84,-1.01
HTplate01,A05,ENSG00000157778,2947,2244,2961,2026,-0.18,0.03,0.13,-0.21
HTplate01,A06,ENSG00000171199,2918,2258,3042,2110,-0.25,0.06,0.34,-0.04
HTplate01,A07,ENSG00000121957,2943,2358,2851,2154,-0.19,0.26,-0.16,0.05
HTplate01,A08,ENSG00000142731,2693,2227,2783,2233,-0.80,0.00,-0.33,0.21
HTplate01,A09,ENSG00000100991,3082,2582,2933,2140,0.15,0.71,0.06,0.02
HTplate01,A10,ENSG00000175097,3340,2662,3113,2429,0.78,0.88,0.52,0.62
HTplate01,A11,ENSG00000125944,2982,2143,3258,2027,-0.10,-0.17,0.90,-0.21
HTplate01,A12,ENSG00000160233,2930,2480,2890,1942,-0.22,0.51,-0.05,-0.39
HTplate01,A13,ENSG00000177181,2933,2046,3032,1874,-0.22,-0.36,0.31,-0.53
HTplate01,A14,ENSG00000145863,2677,2009,2819,1791,-0.84,-0.44,-0.24,-0.70
HTplate01,A15,ENSG00000136156,2935,2355,2964,2163,-0.21,0.26,0.14,0.07
HTplate01,A16,ENSG00000124601,2838,2379,2969,2248,-0.45,0.30,0.15,0.24
HTplate01,A17,ENSG00000188483,2793,2494,2981,1763,-0.56,0.54,0.18,-0.75
HTplate01,A18,ENSG00000105676,2778,2167,2690,2194,-0.59,-0.12,-0.57,0.13
HTplate01,A19,ENSG00000067248,2835,1845,2696,1785,-0.46,-0.77,-0.56,-0.71
HTplate01,A20,ENSG00000105122,2789,2019,2956,1972,-0.57,-0.42,0.12,-0.32
HTplate01,A21,ENSG00000111596,2547,1599,2733,1366,-1.16,-1.26,-0.46,-1.57
HTplate01,A22,ENSG00000178193,3002,1984,3089,1982,-0.05,-0.49,0.46,-0.30
HTplate01,A23,ENSG00000122406,1223,556,1690,653,-4.40,-3.36,-3.16,-3.04
HTplate01,A24,ENSG00000140807,3117,2950,2770,2502,0.23,1.45,-0.36,0.77
HTplate01,B01,ENSG00000105246,3064,2459,2806,1823,0.10,0.47,-0.27,-0.63
HTplate01,B02,ENSG00000127318,3212,2520,3216,2460,0.47,0.59,0.79,0.68
HTplate01,B03,ENSG00000196343,2981,2618,2755,2029,-0.10,0.79,-0.40,-0.21
HTplate01,B04,ENSG00000111640,3144,1880,2962,2226,0.30,-0.70,0.13,0.20
HTplate01,B05,ENSG00000145391,2932,2236,2716,2074,-0.22,0.02,-0.50,-0.11
HTplate01,B06,ENSG00000128645,3152,1885,2832,2162,0.32,-0.69,-0.20,0.07
HTplate01,B07,ENSG00000111684,3215,2299,2916,2736,0.47,0.14,0.01,1.25
HTplate01,B08,ENSG00000175745,3063,2037,3022,2210,0.10,-0.38,0.29,0.17
HTplate01,B09,ENSG00000128482,2913,2290,2860,2198,-0.26,0.13,-0.13,0.14
HTplate01,B10,ENSG00000139291,2835,2433,2938,2025,-0.45,0.41,0.07,-0.22
HTplate01,B11,ENSG00000166317,2922,1935,2872,1595,-0.24,-0.59,-0.10,-1.10
HTplate01,B12,ENSG00000021852,2834,2352,3176,1607,-0.46,0.25,0.68,-1.08
HTplate01,B13,ENSG00000196805,2845,2066,3104,1636,-0.43,-0.32,0.50,-1.02
HTplate01,B14,ENSG00000151388,3179,1814,3194,1587,0.39,-0.83,0.73,-1.12
HTplate01,B15,ENSG00000112232,2888,1752,2416,1536,-0.33,-0.95,-1.28,-1.22
HTplate01,B16,ENSG00000046647,2990,2583,3078,2131,-0.07,0.72,0.43,0.00
HTplate01,B17,ENSG00000196567,2577,1655,2568,1350,-1.09,-1.15,-0.89,-1.60
HTplate01,B18,ENSG00000188633,3553,2594,3061,2617,1.30,0.74,0.39,1.00
HTplate01,B19,ENSG00000170837,3026,2647,3048,2237,0.01,0.85,0.35,0.22
HTplate01,B20,ENSG00000146399,3172,2632,2849,2297,0.37,0.81,-0.16,0.34
HTplate01,B21,ENSG00000174132,3195,2274,3019,2254,0.43,0.09,0.28,0.26
HTplate01,B22,ENSG00000173935,3386,2618,3231,2665,0.89,0.79,0.83,1.10
HTplate01,B23,ENSG00000135222,3265,1665,3077,2172,0.60,-1.13,0.43,0.09
HTplate01,B24,ENSG00000164406,3324,2737,3059,2493,0.74,1.03,0.38,0.75
HTplate01,C01,ENSG00000187792,2706,2507,3308,2295,-0.77,0.56,1.03,0.34
HTplate01,C02,ENSG00000089336,2926,1637,2960,1438,-0.23,-1.19,0.13,-1.42
HTplate01,C05,ENSG00000120690,2765,2545,3049,2267,-0.63,0.64,0.36,0.28
HTplate01,C06,ENSG00000121039,3081,1629,3100,1689,0.15,-1.20,0.49,-0.91
HTplate01,C07,ENSG00000196885,3308,2164,3003,2768,0.70,-0.13,0.24,1.31
HTplate01,C08,ENSG00000170445,3216,1710,3018,1361,0.48,-1.04,0.28,-1.58
HTplate01,C09,ENSG00000183044,3198,2176,2839,2261,0.43,-0.10,-0.19,0.27
HTplate01,C10,ENSG00000163046,2979,2347,2819,2263,-0.10,0.24,-0.24,0.27
HTplate01,C11,ENSG00000196455,2834,2117,2636,2360,-0.46,-0.22,-0.71,0.48
HTplate01,C12,ENSG00000147604,1834,443,1179,251,-2.90,-3.58,-4.48,-3.87
HTplate01,C13,ENSG00000179071,2860,2308,2863,2399,-0.39,0.16,-0.12,0.55
HTplate01,C14,ENSG00000157404,3102,2155,2775,1880,0.20,-0.14,-0.35,-0.51
HTplate01,C15,ENSG00000196774,2924,2682,2883,2021,-0.24,0.92,-0.07,-0.22
HTplate01,C16,ENSG00000103202,2698,2294,2567,1929,-0.79,0.14,-0.89,-0.41
HTplate01,C17,ENSG00000180347,3195,1933,2702,1863,0.43,-0.59,-0.54,-0.55
HTplate01,C18,ENSG00000105829,2714,1848,2656,2020,-0.75,-0.76,-0.66,-0.22
HTplate01,C19,ENSG00000057252,2644,2312,2597,2045,-0.92,0.17,-0.81,-0.17
HTplate01,C20,ENSG00000146267,2732,2175,2888,2210,-0.71,-0.10,-0.06,0.17
HTplate01,C23,ENSG00000180318,2756,2629,2964,2347,-0.65,0.81,0.14,0.45
HTplate01,C24,ENSG00000102802,3014,2686,3062,2657,-0.02,0.92,0.39,1.09
HTplate01,D01,ENSG00000172350,3073,1853,3130,1962,0.13,-0.75,0.57,-0.34
HTplate01,D02,ENSG00000196844,2778,1859,2776,1755,-0.60,-0.74,-0.35,-0.77
HTplate01,D05,ENSG00000080608,3235,2431,3017,2018,0.52,0.41,0.27,-0.23
HTplate01,D06,ENSG00000145268,2277,1411,2689,1596,-1.82,-1.64,-0.57,-1.10
HTplate01,D07,ENSG00000173041,2783,1882,2750,2278,-0.58,-0.69,-0.42,0.31
HTplate01,D08,ENSG00000182909,2896,2394,3004,1823,-0.30,0.34,0.24,-0.63
HTplate01,D09,ENSG00000196693,2981,2365,2984,2364,-0.10,0.28,0.19,0.48
HTplate01,D10,ENSG00000043591,2991,2366,3085,1999,-0.07,0.28,0.45,-0.27
HTplate01,D11,ENSG00000196476,2893,1881,3279,1969,-0.31,-0.70,0.95,-0.33
HTplate01,D12,ENSG00000100647,3000,1427,2698,1430,-0.05,-1.61,-0.55,-1.44
HTplate01,D13,ENSG00000135148,2980,2343,2810,2045,-0.10,0.23,-0.26,-0.17
HTplate01,D14,ENSG00000126460,2914,2092,2547,1815,-0.26,-0.27,-0.94,-0.65
HTplate01,D15,ENSG00000198047,2660,2149,2980,2106,-0.88,-0.16,0.18,-0.05
HTplate01,D16,ENSG00000196565,3130,2352,3182,2009,0.27,0.25,0.70,-0.25
HTplate01,D17,ENSG00000186912,3016,2319,2924,2083,-0.01,0.18,0.03,-0.10
HTplate01,D18,ENSG00000100056,3170,2593,2651,1935,0.36,0.74,-0.67,-0.40
HTplate01,D19,ENSG00000182668,3102,1825,2924,1901,0.20,-0.81,0.03,-0.47
HTplate01,D20,ENSG00000163293,2953,2121,2940,1967,-0.17,-0.21,0.07,-0.33
