"GeneName",Med(Ess(WT)) – Med(Ess(MT))
"KCNAB3",9.76200495858559E-06
"NEK2",2.92613716584289E-05
"C14orf93",5.0289280384171E-05
"RP1L1",5.03582034466071E-05
"RGMA",0.000103340792832
"RABL2A",0.000111827355884
"LYZ",0.000125697947189
"PCDH18",0.000133198681083
"RAD18",0.000135156020189
"SH3BP5L",0.000140455066225
"NLGN1",0.000147776000749
"FGR",0.000152104698177
"MTFR2",0.000169235376844
"TSPAN31",0.000180840349285
"PTP4A2",0.000187672675696
"ACTRT3",0.000190534148077
"C14orf159",0.000191038211003
"EMILIN3",0.000210234229454
"NFKBIB",0.000228148169687
"CLEC3A",0.000254943320352
"VGLL2",0.000270348124172
"SZRD1",0.000302854303466
"ADRB1",0.000320621920861
"DGCR6",0.000324219300041
"EDN1",0.000324711944895
"PER1",0.000325732564329
"OR7D2",0.000332829935388
"NAAA",0.000369068661156
"TRIM37",0.000377103951316
"AKAP13",0.000398542306405
"CASP6",0.000431115576103
"SLC27A3",0.000431678792248
"PFKFB2",0.000437071120833
"DNAJC6",0.000455029430696
"CABP1",0.000463237641375
"RPSA",0.00046798721544
"OGFR",0.000492144410883
"ALOX15B",0.000508953248102
"SOS2",0.000511030423368
"AXIN2",0.000523657918375
"ZCCHC6",0.000546679893829
"PCDHA6",0.000556245290904
"DHX57",0.000574849282569
"PRDM11",0.000628258233162
"CSN3",0.000640804123711
"CORT",0.000645437102025
"BCAP29",0.000651325972215
"C1orf87",0.0006542402928
"IQSEC3",0.00065946317818
"PRDM9",0.000675255423791
"NUDT5",0.000684338365329
"SOHLH2",0.000703448261313
"XCL2",0.000728654744863
"SMOX",0.000729189758041
"KCTD1",0.000756085262441
"PFDN6",0.000776776450064
"GHR",0.000805966650245
"IAPP",0.000809883109453
"MS4A1",0.000811549816767
"AFP",0.000821176575086
"KERA",0.000847327552178
"ZNF775",0.000865470738252
"UBTD2",0.000885783920348
"KLB",0.000890988525885
"RAB3IL1",0.000904461423177
"GPR139",0.000957970809296
"MOK",0.000977453022429
"PLCG2",0.000990104576755
"BASP1",0.001001139694077
"CXCR5",0.001027384263913
"SLC22A8",0.001029322237
"TLE4",0.001039574961592
"GPR150",0.001050069275652
"CROT",0.001051298495365
"C2orf71",0.001097269063045
"EFTUD2",0.001111287614372
"ACOX3",0.001125005329589
"LARP1B",0.001132321089056
"HAL",0.001163575077662
"POGK",0.00116870001245
"TSPAN8",0.001173489341827
"HSF2BP",0.001182350821032
"S100A7A",0.001190510612444
"DHH",0.001212683132473
"MAFG",0.00122698692809
"DEFA6",0.001234600910579
"MPC2",0.00124715900522
"ISL2",0.001255876932441
"ODF2L",0.001260761205644
"RBCK1",0.0012657498608
"COMMD7",0.001266852455179
"RABEP1",0.001278275422555
"NAGPA",0.001293550221554
"MYH6",0.001315587374403
"PTMS",0.001338528184229
"ZNF133",0.001371348421668
"ITGBL1",0.001413710284235
"INHBB",0.001481681008708
"ABCF3",0.001501182430413
"SRMS",0.001513907649861
"NNAT",0.001515838161597
"MEGF10",0.001518569457469
"ARMC8",0.00154243573042
