"Genename",Med(Ess(WT)) – Med(Ess(MT))
"RAF1",0.700585031631293
"NUDT4",0.689490585985765
"PREX1",0.571846824151283
"FURIN",0.548026335168271
"EIF3H",0.495500934000086
"AMFR",0.4528020976154
"TAF13",0.388853566985132
"CFLAR",0.350698657555385
"NCOA6",0.33542758051833
"PSMB10",0.325413024365271
"HSP90B1",0.323049144422303
"ARNTL2",0.318083088545763
"DCAF6",0.316783594031579
"TAF6",0.312660628440818
"DPPA2",0.300447103526939
"CPD",0.295905601889508
"TRIM49C",0.288068208421796
"ARID3B",0.283827921909828
"VAPA",0.27919566238852
"MGAT2",0.267708136263716
"KRTAP4-2",0.264659995668355
"SLC1A3",0.258475465002998
"ZBTB2",0.255322324021809
"WDR46",0.247724271376038
"BICD1",0.239883455987192
"EXOSC8",0.236409401454058
"SLC9B1",0.234996914727686
"GOLGA6B",0.234840359586627
"LZTFL1",0.23399898099623
"SCN10A",0.233956856160708
"TCF7L2",0.230136290933106
"MAP3K2",0.22657991963314
"CCNT2",0.22563034823587
"YWHAZ",0.224819884136157
"CACNB3",0.220688215564633
"LENG8",0.220594347875894
"SLC2A13",0.220084244868133
"TP53I3",0.217789420088105
"BCAR1",0.215683472698422
"LTF",0.21519378794016
"REV3L",0.21380526077111
"SCN5A",0.213263339624992
"FAR2",0.213019504823393
"SPACA7",0.212865627562179
"MMAB",0.209847227687776
"GFPT2",0.2087908068652
"RNF103",0.207851896700582
"DUSP11",0.20739785183758
"GRB10",0.20564239656893
"ELF2",0.19990979495589
"NEK6",0.198325112249186
"POLQ",0.195634947132713
"GLI1",0.194911692635485
"GOLGA6L1",0.194702816720038
"OR2T5",0.192979433965754
"TRAF2",0.192192127670558
"ARHGAP31",0.190200481628371
"CMIP",0.189040711839141
"DDX39B",0.187248729770353
"OTOR",0.184421367486393
"EPPIN",0.180583499033405
"ZBTB3",0.180053372467796
"NFE2",0.180011989581294
"UNC119",0.17719075585398
"SLC1A5",0.176240057879485
"MTRR",0.173624412953426
"ING3",0.172435039454777
"SYNGR2",0.171612994065935
"MND1",0.169881389973409
"TAB2",0.168062738820007
"NAP1L4",0.166483233007568
"UGT2B15",0.165001877309197
"TMSB10",0.16439274016883
"SENP6",0.163577036495178
"IFITM3",0.161355177024108
"POFUT1",0.157562807518809
"CPEB1",0.153785827077575
"HPSE",0.15339528398067
"SERF2",0.152326389868733
"NCR2",0.152296345367951
"OR5C1",0.151296286863023
"BEST3",0.148768707573608
"FANCD2OS",0.148617344614668
"BMF",0.148302171601642
"MMP25",0.148242170026248
"KLHDC4",0.148140602699646
"GOLGA6L6",0.147157136385214
"EMP1",0.146462159595079
"SLC7A13",0.14584852781106
"SLC32A1",0.144574054427592
"DNAJB1",0.142633602610674
"SRRM1",0.142440753517457
"SERPINB7",0.14194792405788
"ATP5G1",0.141802586908816
"BLOC1S2",0.140369455680091
"NOS1AP",0.138833206778654
"ARHGEF7",0.138829514838788
"CES5A",0.138516877974995
"COL25A1",0.137097290252668
"CAPRIN2",0.136923636405625
"ST8SIA1",0.136641453350283
"P2RY12",0.136149585194242
"PATL1",0.136088614407979
"TMEM132B",0.13604885313064
"IFI30",0.135551408084142
"LATS1",0.135081062412985
"TPT1",0.132982669781418
"HELLS",0.132940230647135
"SPIRE1",0.132772443107563
"UBN1",0.132542916923218
"NAA15",0.13223798609982
"PKP2",0.132031968622817
"BRCA2",0.131849618153236
"ARGFX",0.131379292720819
"ICAM3",0.130782638064697
"MRPL45",0.129817986114789
"DNAJC5B",0.127563014750249
"SFR1",0.127316860719103
"TLDC1",0.126719158802143
"FNBP4",0.125269964980723
"ZNF676",0.124850215114168
"GRID2",0.124502585120455
"C14orf105",0.124275420573918
"FGG",0.124003795775779
"CBLN1",0.123027490141814
"SENP8",0.122624347354238
"UPF3A",0.121667567357086
"CCR2",0.120898221548213
"ATRN",0.120484161988383
"MGAT1",0.120040982028029
"ARL2BP",0.119569139849325
"TGS1",0.119049759070723
"HDGF",0.118818229801792
"CYB5D2",0.118392673527806
"CBWD2",0.11787512160077
"FAM105A",0.117425722076538
"MEDAG",0.117283980697859
"MARCH8",0.115626810008354
"ST8SIA4",0.115486013446109
"PITPNM3",0.114713060345851
"KRTAP9-2",0.114639328242489
"SPATA13",0.114248434897654
"NR1H2",0.112882883161935
"ADSL",0.112787379352733
"CETP",0.111861848490921
"ZNF232",0.110642739554632
"RP1",0.109871456611113
"STIM1",0.109583443431046
"SPG21",0.109074752633906
"ZMYM5",0.108996239916931
"BTG4",0.108370682805584
"CES3",0.108172595308767
"ABHD10",0.107968279761454
"ZNF333",0.107550192757108
"CCDC25",0.107347938124296
"UNC45A",0.107145549104153
"ACADS",0.106886809099313
"FABP4",0.105475031825924
"MPV17L",0.105454593110034
"MELK",0.105428149954772
"FAM207A",0.105215183070947
"CALCRL",0.104311989262679
"CYP1A2",0.103453236828816
"MAP3K1",0.102759688436441
"ERMN",0.102312509223626
"HLF",0.101934947155157
"ANKRD20A2",0.100665973061454
"CCDC58",0.100338091248206
"BLK",0.099931148774696
"VPS39",0.099715618185157
"SLC16A12",0.099290305698953
"CDKL2",0.09901970090419
"FHOD3",0.09885287613391
"CRYGC",0.098317948280095
"KRT28",0.098251203693815
"PIGB",0.09807310463584
"KCTD21",0.097730556556358
"MED29",0.09759896734176
"IPO8",0.097505975994865
"COX6C",0.097267078410239
"ZNF24",0.097211100023889
"FNTA",0.096918200035692
"CASP10",0.096816903204165
"DCAKD",0.095949569781228
"UGT2B4",0.095602360552034
"PEX1",0.095597942940214
"IL17RE",0.094994515009546
"YPEL4",0.09494439851609
"ABCA1",0.094225556790271
"SLC29A3",0.093992431295889
"ZNF705A",0.093271136385381
"CELSR3",0.093192914292486
"ACOX1",0.09233656842607
"GRK6",0.092215408553977
"CD48",0.091855544583477
"CNTRL",0.091616394139007
"GNB4",0.091110422038361
"THOC5",0.090790476966053
"OR4D10",0.090273201827609
"PLCB4",0.08868545708565
"DAPP1",0.087596213181313
"CNOT10",0.08748575696244
"HSBP1",0.086801046637551
"ACSBG2",0.086153224418978
"RNF145",0.085849339377552
"GNL2",0.08581467322711
"SUCNR1",0.085283927162322
"NINJ1",0.083621570808071
"YBX3",0.082849091601031
"DNAJC24",0.082485923125604
"DUOXA2",0.081980704532619
"CRLS1",0.081387631159662
"DDX27",0.081039334461731
"IL17C",0.08047660850455
"WFDC12",0.079737277412112
"OR2L5",0.078987189094979
"PGM2",0.078927065206374
"SLC1A2",0.078874025206753
"KIF16B",0.07828706998473
"CYLD",0.077082392400804
"PSMA8",0.077056394876502
"SEPT11",0.076749978489366
"UBE2D4",0.076598589366661
"TLN2",0.076562394181469
"ZCCHC17",0.075880817625526
"CEP192",0.075726679763361
"DNAJB8",0.075596572684975
"ZFP28",0.074707340358275
"TEX101",0.074518249505473
"CKAP2",0.074456878839987
"FGF10",0.074329164467444
"PDE6D",0.072511800307694
"UGT2B7",0.072466135939981
"RHCG",0.072091491888983
"LYZL4",0.071893221561042
"LYPLA2",0.071577194863648
"IMPACT",0.071258540205072
"ZNF343",0.071028752312555
"TAGLN3",0.070779994493723
"PIGT",0.069907249080413
"UROC1",0.069414285608714
"CDH5",0.069183595635891
"CLYBL",0.069034650211991
"NEK10",0.068496925577144
"NIPA2",0.06779100383892
"NRBP1",0.067433835855655
"ZUFSP",0.067332716473386
"CD79B",0.067139631390607
"CMTM2",0.066941054195914
"ZNF266",0.066808533227223
"INHA",0.066471088240134
"HIST1H2BL",0.066290728556519
"CD200R1",0.064984455273756
"KXD1",0.064977730668182
"AAMP",0.064599290298852
"OR7G2",0.063917242334369
"MIA2",0.063249039830688
"RYR1",0.063042024692946
"NEK5",0.063027158205985
"WASF3",0.062678939941273
"TGM3",0.061914374977961
"RPS25",0.061848170272698
"DEFB132",0.061080316645508
"WFDC9",0.060238586254305
"NDEL1",0.06013780651935
"CD2BP2",0.059805118046225
"RAB20",0.059368281322587
"DMXL2",0.057519005804387
"ALOXE3",0.055827629300866
"SAMD8",0.055706524896875
"POM121L2",0.055362495635001
"AARD",0.055317213432173
"VN1R2",0.055284067113499
"MYO1B",0.054792763215325
"IKZF3",0.054648557679305
"MIS18BP1",0.054578489249304
"PAPPA",0.054257030066088
"OR2L13",0.054241824292332
"BZW1",0.054115224025966
"SEMG2",0.054025948723861
"FGF9",0.053503162711168
"CHID1",0.053086011840304
"GLE1",0.052997486028742
"ERP44",0.052850325196467
"GPR179",0.052824335202906
"CPAMD8",0.05282299208785
"CPNE3",0.052490596030794
"HBG1",0.052093242559292
"RETNLB",0.052079782804003
"SPATA16",0.051484751002659
"TTF1",0.051449393882476
"CTNNB1",0.051397937552664
"RTN4RL2",0.051378445661319
"SLC7A9",0.051250397350301
"PAQR4",0.050761921640903
"SDHD",0.049763059890013
"PRCP",0.04926705082665
"RNF152",0.049129949168888
"LRRC18",0.048352026586656
"TRMT6",0.047521847008944
"IPO13",0.047416129282132
"FILIP1L",0.046905734406611
"FOXC2",0.046639004867161
"COMMD5",0.046541665291823
"IGFL2",0.046024591838658
"OLIG3",0.045663303904687
"COCH",0.044929240215654
"CST4",0.044510606645615
"CCDC178",0.043567665018697
"CDK10",0.043488251288453
"C11orf63",0.043484967784105
"PDZD2",0.042548244337535
"DUS2",0.042239622884625
"WFDC3",0.042129645714668
"ZNF98",0.041967459739537
"TM9SF4",0.041707570326388
"HORMAD1",0.04147396842762
"GYS2",0.041446061050601
"DNAL1",0.041262711804024
"NT5C3A",0.041221403214699
"ITPA",0.041196241322555
"SPTLC1",0.040333283749401
"SLC6A12",0.039656471373249
"AREL1",0.039183603138417
"TEX29",0.039118633658845
"PHYH",0.038520408376145
"OR3A3",0.038060131058605
"ITGA8",0.03784807338041
"PRH2",0.037658978428181
"NLRC5",0.037601356947865
"INS",0.037192882714662
"GNPNAT1",0.036755483919327
"CDX2",0.03511617744108
"KRT76",0.035071410395973
"RAP1B",0.032639587561771
"GOLGB1",0.032322425707714
"TRAF7",0.032265956355544
"TSSK4",0.031645676157268
"PFAS",0.031325575683486
"SLC47A1",0.031310770904172
"FOXA2",0.031189614462668
"BNC1",0.029976874286025
"SLC30A5",0.029840641426041
"TRHR",0.029244574682076
"SERPINI1",0.029224465976042
"KIF3B",0.028794524948334
"ZBTB12",0.028744038817697
"TPTE",0.027945350714272
"NSRP1",0.027644247869032
"FREM2",0.026371474660463
"SLC26A7",0.026061179949101
"PRG3",0.025826111995485
"OR8U1",0.024733412463359
"MARCH9",0.024074920851251
"PCDH9",0.023508503104722
"RIN2",0.023398302467426
"VAC14",0.023309597672958
"RAP1A",0.023188829137455
"WFDC11",0.023105240029614
"ADAM32",0.023004136039252
"PKNOX1",0.02282561896358
"TAS2R20",0.022522453452329
"TTC26",0.022405453723323
"CYP26A1",0.022401474978611
"TAL2",0.022265471541337
"LCA5",0.022143078900171
"CCDC113",0.021937132617983
"ATMIN",0.02166425501451
"PYGB",0.02135248545192
"SPINT1",0.020937401489622
"ZKSCAN2",0.020388855013414
"ICOS",0.019804835045472
"TRPV1",0.01979163498802
"BPIFB3",0.018673484603124
"CLDND1",0.018084018537891
"DCT",0.017974808773015
"ZNF253",0.017793277343626
"ZNF845",0.01768937641328
"TSNAXIP1",0.01752832530532
"GPX2",0.01736312916187
"SHISA5",0.017335619129773
"NACA2",0.017094638474777
"GPHN",0.016622113217567
"FMNL1",0.016459339699183
"CEP89",0.015606915455841
"SND1",0.015384122970617
"C14orf28",0.014996452463886
"TPTE2",0.014904336502537
"RFWD3",0.014241016861726
"ZNF470",0.014097496193181
"RSU1",0.013930939684577
"ATL1",0.013906493132495
"TTC14",0.013586692211813
"JPH2",0.013380808432741
"TDGF1",0.01249548511183
"LCN8",0.012484064567081
"AK1",0.012197287049587
"PGBD2",0.011848097670179
"APEH",0.01144749838934
"ELOVL3",0.011196306235411
"PAK1",0.010596805011783
"CYB5R4",0.010536976501631
"HSD17B4",0.010085116243539
"KLRG1",0.009987942413825
"SARNP",0.009643149634991
"KCNJ4",0.009525621800958
"ACSM3",0.008256628092209
"MPHOSPH8",0.008200506850377
"MAP3K7CL",0.007692067004667
"CATSPER3",0.007511516382876
"TF",0.006703082935516
"VPS13A",0.006332897787612
"UPK1A",0.00604489445564
"HIST1H3E",0.005955393462672
"SLC38A11",0.005762893178279
"STRN3",0.005080052184022
"DYNC2LI1",0.004329843444978
"SLC6A6",0.003990563665335
"ACVR2A",0.003634028361786
"ANKS4B",0.003028184311412
"FAM91A1",0.002999366053685
"SLC17A2",0.002948766771182
"GLT6D1",0.002797794566533
"ERGIC2",0.002755981413221
"SHPRH",0.00261697284045
"SMIM14",0.002542900427497
"SLC35A5",0.002071853393045
"HAAO",0.001939302745458
"UGT2B11",0.001078529664114
"VPS9D1",0.000853370451689
"TNFSF8",0.000810565200033
