"Genename",Med(Ess(WT)) – Med(Ess(MT))
"GFI1",-0.496146285224826
"TCF12",-0.429907190277153
"CBWD1",-0.306554067941606
"CELA3B",-0.280097561068823
"C5orf46",-0.260591398968544
"GH1",-0.259070208076962
"SCUBE2",-0.256465259408506
"ZNF799",-0.233337221485031
"CNR2",-0.230499645221631
"CAPN2",-0.230107185614047
"TARBP1",-0.226106388625764
"C5orf52",-0.221796994432186
"AGFG1",-0.197661302036208
"MXRA8",-0.195939991937705
"CR1",-0.195029481625685
"SLC30A10",-0.190967264810737
"PDZD8",-0.189523429343841
"ARHGEF1",-0.182454879774021
"NKTR",-0.181165487938338
"MFSD5",-0.179993641204346
"CDHR2",-0.178446201985538
"SLC39A9",-0.177449614676522
"DDX60",-0.169886465205
"EBF3",-0.169644802554105
"SCRG1",-0.169017898839201
"SYNJ1",-0.168241380489757
"PRTN3",-0.16758030233367
"HAND1",-0.165385531806021
"RTCA",-0.162176389718895
"SERPINH1",-0.158914364776712
"OBSCN",-0.147786687118378
"ITGB4",-0.146845252956886
"SLC28A1",-0.146628444470986
"SLC39A4",-0.14465353699728
"MUC17",-0.138870234273922
"RXFP3",-0.137308919698048
"LGALS2",-0.136083250093206
"GMPPA",-0.135582620576895
"C6orf223",-0.13514040186452
"SLC35B4",-0.131528120348981
"MAP2K2",-0.127799807598696
"ZBTB4",-0.127750238897827
"PEAK1",-0.12650295777409
"FRMD3",-0.120723867895292
"HOXA4",-0.120371784213715
"CCDC3",-0.118896463031385
"MCL1",-0.113629933297253
"HIST3H2A",-0.106668446368856
"ANKRD45",-0.092747424601456
"NR1H3",-0.090780708804961
"SIAH2",-0.088366820147769
"LEPROT",-0.086540228556944
"MLYCD",-0.085318694290947
"TSC22D4",-0.084523119280809
"SLC35D3",-0.075110170179808
"OR2D3",-0.069993020867429
"NAT16",-0.067543890707084
"CDCA4",-0.066662343633591
"MRVI1",-0.064711738674303
"ATF6",-0.060304436355581
"OCEL1",-0.041665518716943
"CNRIP1",-0.04039040197191
"CRYAA",-0.035596698476527
"FEM1B",-0.023271687232431
"LMO4",-0.022372179368865
"PRSS16",-0.011991258819613
"PPID",-0.00774878553268
"LBH",-0.004099224799391
"CDK7",0.241841286054668
