"Genename",Med(Ess(WT)) – Med(Ess(MT))
"MARCH5",-0.457816500668821
"TCF3",-0.453289540532555
"SPEN",-0.407847935126272
"CDKN1C",-0.27443354939557
"ALPP",-0.272700134113606
"HLA-DQA1",-0.269263681988176
"GRB2",-0.265073079084245
"YIPF5",-0.256472937289859
"PCYOX1",-0.236044429334823
"HLA-DRB5",-0.234838725843815
"PIGR",-0.22906465431413
"HLA-DQB1",-0.224323189606798
"OR52E8",-0.215843199280555
"PRKCG",-0.20244842354306
"GOLGA8O",-0.200457154934541
"EZH2",-0.194616577319667
"CCNG2",-0.192347130544939
"TRIM24",-0.188410083999744
"KIF17",-0.185612805140179
"SNRPF",-0.185495639158543
"ICA1L",-0.184733339886575
"ALOX5AP",-0.18441399235843
"ATAD3A",-0.178265633575545
"DRAXIN",-0.17148569216399
"FEZ2",-0.170968874490137
"DEF6",-0.170648422751234
"INPP5F",-0.16886950246165
"CYP2D6",-0.16757767443706
"RPL13A",-0.164236874096852
"GPR141",-0.162528691857497
"PLXNB2",-0.162158243626062
"HSD17B8",-0.159338203405547
"CHIC2",-0.159316850799705
"CLDN3",-0.157466879786613
"MAB21L2",-0.157192547893697
"KLHL21",-0.156256731452426
"CALCA",-0.156020543015702
"CNPY1",-0.153688188983622
"HCRT",-0.15204662517071
"PDLIM5",-0.151435135739763
"OXCT2",-0.151266382547841
"ATXN7L2",-0.150206663259474
"MRGPRX4",-0.144684666751068
"JAM3",-0.144084310277561
"DBNDD2",-0.143760959910688
"TMEM65",-0.141011700898044
"CEL",-0.140700056017126
"NEUROG1",-0.13960743421593
"CREB5",-0.138673455851212
"RSPO1",-0.138615244000158
"HOXA9",-0.138559211552858
"DUSP2",-0.137976966139814
"LILRB3",-0.137947932994151
"FAM19A3",-0.136882716244451
"CCDC170",-0.136746209050353
"PRSS57",-0.134839765334102
"ASB1",-0.13269938149098
"SIAE",-0.1293252320846
"MGST2",-0.129095352998071
"ACSS2",-0.128398106531629
"CALU",-0.127858443176676
"GADD45A",-0.126567769742509
"MSX2",-0.126388674655386
"TGOLN2",-0.126034882254586
"PTPN12",-0.125781197533109
"KRTCAP3",-0.125427075626222
"CCDC7",-0.124017071460918
"TMEM60",-0.12191800523186
"ACSM2B",-0.12066470245627
"YWHAQ",-0.11876900751265
"FAM181B",-0.118397433474059
"TRIM27",-0.118161409229353
"AQP11",-0.118138143991135
"LLGL1",-0.116897398410189
"CDK5R2",-0.116755554290867
"RNF144A",-0.116204375990387
"CD69",-0.115558044844858
"MTUS2",-0.115324693397023
"LMNA",-0.113900301046576
"RD3",-0.113230411951541
"TSPO",-0.111580288219846
"TBC1D10B",-0.111480395288515
"KBTBD8",-0.111257041918541
"RUFY2",-0.110563860605729
"AGXT",-0.106423984053251
"TYROBP",-0.105462657046583
"ZNF530",-0.101994188050249
"KCNH2",-0.101192035549199
"GNG7",-0.100412123079219
