"GeneName",Med(Ess(WT)) – Med(Ess(MT))
"BZW1",3.22892059383822E-06
"PHPT1",4.44520048526083E-06
"B3GALT4",1.10165566238885E-05
"OVOL1",1.35922074243483E-05
"RPUSD4",1.47196431701802E-05
"GCFC2",1.52042088200077E-05
"B2M",5.55039681354938E-05
"RASSF4",6.59234416424681E-05
"PPIP5K1",8.05850203208364E-05
"MASTL",9.86224618841902E-05
"ZNF365",0.000116364724185
"CFHR3",0.000123071255459
"SOX9",0.000124238407377
"NUP188",0.000126597505234
"FARSA",0.000129975386991
"TSNAXIP1",0.000146453367187
"RDH13",0.000146669279721
"MOGAT1",0.000162446685448
"ZNF268",0.000164983600988
"CCDC178",0.000166446595455
"CTSG",0.000171891687191
"TMEM25",0.000180422881767
"DDX41",0.00019331944059
"ILDR1",0.000214648805681
"CTSC",0.000228025513474
"DNHD1",0.000248744552516
"CDC42BPA",0.000283670585369
"CISD1",0.000304386912316
"UBQLN1",0.00031827506413
"NT5DC1",0.000338083376519
"HMGCL",0.000341375432566
"PLBD2",0.000357586734752
"MTIF3",0.000366631770389
"NR3C2",0.000367322772767
"CCDC102B",0.000395597200337
"IL1RL2",0.00040240253822
"AP2M1",0.000405298418166
"AVIL",0.000440259640153
"CYP4V2",0.00044748515238
"CD79A",0.00045752719915
"PHOSPHO2",0.000489517522248
"TACO1",0.000518650184251
"HLA-G",0.000539258189929
"GALNT5",0.000549672199779
"CERS1",0.00056070848553
"PLEKHG2",0.000568972446542
"TLR10",0.000572388296381
"SRSF11",0.000614114604574
"H6PD",0.000615854260894
"SERPINB13",0.000638826963145
"CA7",0.000655385773841
"NEUROG1",0.000662566166584
"HINT1",0.000668106999918
"OSBPL9",0.000677508056026
"DNAJC10",0.00069596721414
"HOXA5",0.000757417698041
"SULT1A1",0.000767521017193
"OPN5",0.000767586272584
"MTMR12",0.000779230979497
"AMN1",0.000784870578131
"ABCG2",0.000796339091342
"GNG11",0.000798122885588
"MCCC2",0.000847171383296
"TINAGL1",0.000848391863972
"SPATA16",0.000848560128448
"ZNF135",0.000863394450689
"FBN2",0.000874166343233
"ARHGEF28",0.000886734253388
"CCSAP",0.000891296365715
"SLCO2A1",0.000896919582018
"CRIPT",0.000900108741471
"RGS21",0.000901947865755
"CEP135",0.000906167121711
"CDKN2A",0.000912774859467
"FMOD",0.000925467045915
"FOPNL",0.000931787483729
"STAB1",0.000931919814121
"MRPL43",0.000939593578838
"C20orf85",0.000957856806086
"RGS9BP",0.000959744714265
"NOVA1",0.000994355919302
"WDR66",0.000995367918141
"NOL10",0.001027485018893
"RETNLB",0.001027531447156
"UNC80",0.001030423000205
"MSH2",0.001051808772404
"SIRT5",0.001054888519121
"BICC1",0.001062929800315
"ITM2C",0.001069009505416
"LRGUK",0.001110214640653
"C2orf71",0.00112143479987
"LARP1",0.001150884643759
"HTRA1",0.001154959427777
"CYP26B1",0.00119555071768
"KCTD2",0.001204060768449
"LRRIQ1",0.001218149836751
"SPDYA",0.001236620046954
"KIAA0391",0.001281946208565
"CENPM",0.001288244085801
"TNFSF12",0.001298226302229
"MEGF11",0.001308732771843
"KCNS3",0.001313121407295
"GSR",0.001335022466227
"CTBS",0.001339223681619
"AKNA",0.001339413684165
"RRAD",0.001340447041591
"BAG6",0.001360639083653
"RP1",0.001378394521278
"IGFL3",0.001382692810635
"MICB",0.001412285733483
"SERTAD4",0.001423702437594
"KATNA1",0.001426533178762
"FAP",0.001440871083118
"SUCO",0.001444346165316
"PRG4",0.001459476626063
"CCT8L2",0.001463030807759
"TMPRSS12",0.00151644946684
"EDN3",0.001610856278406
"NR1I3",0.001611140321276
"PODN",0.001617087693295
"PRF1",0.001623033492928
"B4GALT2",0.001648678598429
"PATE4",0.001655592175491
"LSM1",0.001671718826696
"GPR132",0.00168055660949
"CD63",0.001694789059408
"CLSTN2",0.001696569245886
"SIT1",0.001713704975097
"NXPE1",0.001739585161367
"CTNNA1",0.001742249522089
"ZNF98",0.001759202119968
"TNFAIP2",0.001768357332227
"SRSF12",0.001777837576142
"ARHGAP10",0.001797085098262
"PPARGC1B",0.001803083828891
"TMEM199",0.001823715116987
"LY75",0.001835315814199
"NPM2",0.001837950007843
"PPM1K",0.001840367188543
"CDH2",0.001856946904922
"IGFL4",0.001874380379994
"OMA1",0.00188458155297
"ZMYND15",0.001889649700779
"GHRHR",0.001894053139174
"SEC63",0.001913211805445
"GRM3",0.001937674637297
"SH3BP2",0.001948235376185
"ZNF440",0.001958947412684
"BYSL",0.001970431354274
"SOX30",0.001970924414821
"DVL1",0.001993169592404
"TCTEX1D1",0.002006950062623
"CCDC58",0.002009138217942
"SEMG2",0.002020296097855
"MYOZ1",0.002033213350378
"MRPL2",0.00203745656865
"TMEM119",0.002037901210867
"CD209",0.002044538587703
"SLC9A2",0.002068503506798
"NAPG",0.00207182158429
"THEM4",0.002072125978659
"TMEM173",0.00207290598586
"SBSPON",0.002078094117752
"ENAH",0.002078444312707
"NACA2",0.00208131194256
"TRPC3",0.002082922673518
"RANBP3L",0.002085307240375
"AGAP3",0.002101732065581
"CLMP",0.00211396714405
"EVPL",0.002198390430448
"PBXIP1",0.002207630807221
"SPTBN4",0.002220483531445
"CARS2",0.002244661704602
"ZNF341",0.002337506988631
"HAPLN4",0.002342791634518
"BBOX1",0.00234338039898
"ZXDC",0.002363176718437
"SCFD1",0.002365042753456
"PGLYRP2",0.002371833980762
"ARMC4",0.002385465900134
"FOXO1",0.002430727984831
"SKOR1",0.002432351273399
"SFTPA2",0.002442242371656
"CCNT2",0.002443321512855
"ZFP30",0.002450730320105
"TMEM214",0.002529341262068
"PRTG",0.002557816133763
"LDHA",0.00256402015502
"NFATC2",0.002604231966461
"ZNF320",0.00260621399052
"FAM222B",0.002611601655684
"ARHGAP24",0.002667115680076
"AIFM3",0.002680253213854
"FSHB",0.002701682130384
"MEIS2",0.002711043175022
"RSG1",0.002721151044806
"NYAP1",0.002729927613229
"SLC51A",0.002742818817796
"PLSCR1",0.002797548253171
"TRMT11",0.002818131511961
"WDR83OS",0.002832754278752
"NPC1",0.002833119774659
"BAMBI",0.002844222359576
"TFF1",0.002845531543967
"TTLL11",0.002846223069508
"GTF3C5",0.002859931239139
"CDIP1",0.002883450288068
"IFT20",0.002898983401573
"CNTNAP4",0.002904187955172
"APOPT1",0.002906198802769
"ARFIP2",0.002919787829483
"OR4D9",0.002934385661019
"TEPP",0.002949298873919
"C16orf87",0.002992376016774
"MPC2",0.003014045418747
"HSPBAP1",0.003019873379831
"SERP2",0.003035942614199
"KLRG1",0.003068644911223
"FAM110D",0.003070488477327
"ZC3HAV1L",0.003079948788967
"CELF6",0.003085379650762
"UBR3",0.003110217959428
"CTSL",0.003120859166729
"MYL4",0.003124980014011
"GIMAP5",0.003126982978528
"AQP9",0.003127148562036
"NAT1",0.003130324408931
"KRT32",0.003138757026057
"L3HYPDH",0.003153680408303
"LRCH1",0.003155388863523
"GABRA5",0.003157975274258
"MACF1",0.003158928856783
"AAK1",0.003164058979343
"KRT85",0.003169974058812
"KNDC1",0.003178042186083
"IYD",0.00321294923484
"TP63",0.003241479495192
"C2orf88",0.003252908510616
"SHKBP1",0.003256750063525
"POM121C",0.003268861778444
"MAP2",0.003271309914661
"GUCA1B",0.003302327254739
"TMEM106C",0.003313242636032
"CAMKK1",0.003316074881183
"GREB1",0.003340072610539
"STAT6",0.003343274730157
"LIN52",0.003366151755348
"DDX19A",0.003369099359254
"SGSH",0.003407628273601
"CCDC174",0.003410580687327
"RAB11FIP5",0.003448639969951
"KRT28",0.003456027326717
"RAB3IP",0.003456266739869
"WNT9B",0.003461190483549
"ZIC4",0.003476852259061
"IL21R",0.003482621718335
"HCN4",0.003529827693265
"FAM114A1",0.003566977648309
"IL1RAP",0.003594983617089
"UBN2",0.003616283704875
"ADORA1",0.003626550217745
"DUSP7",0.003628272638322
"TAGLN3",0.003639572690368
"CNST",0.003657339907155
"CNTD1",0.003658135467105
"ZNF471",0.003662101245492
"MAP1S",0.003667927823155
"PGBD4",0.003682226054739
"COL24A1",0.003684797768302
"TPBG",0.003746244267531
"PAIP2",0.003762783765385
"L1TD1",0.003777805861633
"TEDDM1",0.00377964178043
"IL5RA",0.003795907337984
"TOMM34",0.003800079132063
"ASCL4",0.003811682991963
"PHF20L1",0.003841944336247
"FNDC7",0.003845258152289
"IGF2BP3",0.003865439091246
"TNFRSF14",0.003884787573467
"NLRC5",0.003890117164921
"CDON",0.003947279562869
"SMR3B",0.003954791221487
"ALX1",0.003954899067048
"MAP3K8",0.003974466965408
"NISCH",0.003988802665465
"TBC1D16",0.003990901968322
"TRAF3",0.004025795943734
"AMOTL2",0.004047405558946
"SLC6A16",0.004068964359413
"ABHD10",0.004086142176566
"NRG3",0.004112498226593
"DMC1",0.004124146069304
"MCFD2",0.004125992433784
"PHC2",0.004164066292986
"SLC16A13",0.004204378486052
"SLC25A31",0.004211795022888
"BROX",0.004218361987937
"SH2D3A",0.004218726396633
"CNIH3",0.004219386592659
"ALS2CR12",0.004266976267491
"MRO",0.004269804483065
"GPR171",0.004302810290914
"DOCK3",0.004303874630798
"LRRC63",0.004315304144503
"IRS2",0.0043200700214
"KAZN",0.004330185246222
"MAPK4",0.004330409957339
"SLC37A2",0.004332267313338
"PANX1",0.004355336329287
"HNRNPK",0.004379127612882
"CFC1",0.00437982849809
"ZNF665",0.004380358672948
"PRR4",0.004381412350476
"TUBA3D",0.004392343267964
"YIPF4",0.004393864363556
"IL12RB1",0.004407417873089
"LCN8",0.004411575158961
"TAF1C",0.004421321271587
"CALCRL",0.004430957551473
"ABCA8",0.004432469912155
"GALNT6",0.004456597181924
"SLC16A12",0.004494110743088
"SPRR2E",0.004494367073868
"PSMD3",0.004497931210531
"UAP1L1",0.004514960355139
"DQX1",0.00452794303591
"MAP1LC3C",0.004571332169312
"ARL15",0.004572689657086
"PRKCE",0.004589080739855
"DUXA",0.004589375184712
"GSC",0.004617657425947
"SCFD2",0.00464792995688
"ZP2",0.00465620275156
"ATL1",0.00467951595545
"NLRP12",0.00468159741195
"TAC3",0.004716472426028
"SP140",0.004720206231868
"SSTR2",0.004755899037714
"KCNAB3",0.004768335136517
"ERCC2",0.0047979689309
"PSG5",0.004799451614346
"FGF1",0.004806229008629
"ZNF621",0.004821320585588
"SLC7A14",0.004832173680424
"SIRT2",0.004837915014636
"IGDCC3",0.004838867529941
"FBN1",0.004845393182407
"SPTLC3",0.004845915877529
"CRELD1",0.004861532106455
"GRIN2C",0.004880376647556
"RABL2B",0.004900363704002
"DIRC1",0.004903822311164
"INIP",0.004945885223031
"RCVRN",0.004947317991909
"CXCL11",0.00495152097209
"MYOZ3",0.004957267201843
"AGMO",0.004972757449189
"CBFA2T3",0.004977613575711
"ULK1",0.004978251096703
"BAIAP2",0.004990210406147
"HCLS1",0.005009469660482
"IAPP",0.005010338090851
"ITGBL1",0.005031813692813
"RPGRIP1L",0.005038079463262
"AAED1",0.0050389195241
"ATPIF1",0.005060706498288
"CMPK2",0.005080973455366
"PIK3R2",0.005088605516693
"CD81",0.005091679010339
"SLC6A13",0.005102749823592
"MGAT5B",0.005117514678675
"APCS",0.005123755108152
