GeneName,Med(Ess(WT)) – Med(Ess(MT))
"TFAP4",-0.650282048895703
"FANCG",-0.629204865566497
"NDUFB6",-0.562281658126146
"NDUFB10",-0.554598416148324
"ANKRD49",-0.554010199970908
"NDUFC1",-0.535438586845022
"FANCL",-0.52514795498108
"FANCA",-0.494889284789482
"USP17L2",-0.484527751154923
"HIST1H4K",-0.478286592914556
"CHRAC1",-0.476288557782239
"SPTSSA",-0.469670497713992
"NDUFAF3",-0.46331819703292
"FOXH1",-0.454318999364949
"HEATR1",-0.452139461766004
"RPL23",-0.445499240738918
"C1orf109",-0.439591213721857
"RPS27L",-0.433330583860397
"RPIA",-0.43251380209598
"POLE3",-0.426871779833491
"NDUFS3",-0.426498580989929
"RPL6",-0.425235421563671
"BRIP1",-0.422413391495356
"TIMMDC1",-0.419494117517145
"MRTO4",-0.411843708181349
"NDUFS2",-0.407147571593261
"PAPOLA",-0.385959973300365
"PAGR1",-0.384079334021078
"RPS7",-0.381760548362213
"MINOS1",-0.379468285959698
"UQCR10",-0.378811461474191
"SRFBP1",-0.368949660397522
"TMX1",-0.368670429891261
"PRRC2C",-0.365130732336348
"FOSL2",-0.361893523799103
"NDUFA2",-0.360924039481025
"COQ4",-0.358904739992734
"CYP2A13",-0.356007322061158
"NDUFS8",-0.349800908320889
"PTBP1",-0.339598764212177
"MAML1",-0.338844767611808
"LYPLA1",-0.338638174005432
"NOP9",-0.331210879181152
"R3HDM1",-0.328974579897444
"DLD",-0.328424229433803
"LIAS",-0.328387925082937
"COX11",-0.326334317075536
"SPATA5L1",-0.326310253776228
"RBM34",-0.323534856864953
"FANCC",-0.322643815629836
"BAZ1B",-0.320841939632102
"TSC2",-0.314630775003074
"RAB26",-0.312909394822388
"CSPP1",-0.309666902329529
"COMMD3",-0.309651075552412
"SDCBP",-0.309180687747998
"SREK1",-0.308877267954794
"CHCHD3",-0.30114163401469
"SLC25A3",-0.298256444406139
"ZMYND8",-0.298228065550644
"QRICH1",-0.296784382570279
"XCL1",-0.29671252295654
"FAM189B",-0.296200664270344
"RPL27",-0.294154221475631
"CHD7",-0.29375607593401
"CHTF18",-0.293016620914457
"CD37",-0.291326335214185
"DAZAP1",-0.291165060145147
"DDX31",-0.289762934468503
"STAT5A",-0.289271040089468
"MRPL32",-0.288781118295015
"HIST1H2BD",-0.287398575052331
"SPTY2D1",-0.28543668116983
"NME3",-0.284820750945825
"HIST1H4D",-0.2844568578767
"FAM136A",-0.28260683887602
"UCHL3",-0.278697423177356
"COX4I1",-0.275947803630568
"SFMBT2",-0.275799304662903
"RPL34",-0.274139708484838
"MDK",-0.273896702254945
"ZNHIT3",-0.273729588254586
"KRTAP10-12",-0.27337949176731
"RAD51D",-0.27099654122586
"HIST1H2AL",-0.270524576596665
"ZNF771",-0.269004693675991
"SRRM2",-0.268252067783525
"THUMPD1",-0.267218119199322
"HEATR3",-0.264341026622796
"CERS2",-0.264321199367137
"LIPT1",-0.2640313386084
"ANKRD17",-0.263364430808647
"DYRK1A",-0.262617289134871
"SHARPIN",-0.262342734888843
"MAD2L1BP",-0.259117001649262
"ULBP2",-0.257736015837245
"NSUN5",-0.256513712214368
"CCNT1",-0.255160567302333
"NDUFB5",-0.252379131184288
"ZC3H11A",-0.25144677739215
"H3F3B",-0.251140870782359
"PSPC1",-0.24933607961808
"FUS",-0.249158969812397
"CHMP5",-0.247889054842395
"GATAD1",-0.247609263631981
"SURF6",-0.246435375200204
"ZNF587",-0.24559602865239
"POLE4",-0.24330196378683
"RPL36AL",-0.243090616575218
"HUS1",-0.242875566433669
"MGEA5",-0.240756232790585
"CCNG1",-0.238090464190131
"NRBP2",-0.235424204384449
"TMEM259",-0.234458047716773
"LETM2",-0.233916204761061
"FKBP6",-0.233357306035727
"ABCF2",-0.232772283523715
"TTC14",-0.23175586034151
"EIF6",-0.230608560239755
"CDH15",-0.228934169339278
"CR1",-0.227191698045858
"VENTX",-0.226517071765268
"PBK",-0.22562040971372
"PSMF1",-0.223356317459101
"ZNHIT6",-0.222474136443689
"CCDC74B",-0.220154729564366
"DRAP1",-0.219900155167269
"N6AMT1",-0.21896723774534
"PNOC",-0.215592785579899
"MBTD1",-0.214867422312507
"GATAD2A",-0.21400478549519
"MFSD1",-0.212398069235002
"CPOX",-0.210806651039628
"CIDEA",-0.209676224496176
"EXOSC10",-0.207739976587626
"ZNF460",-0.205321272043605
"ALCAM",-0.20523720213355
"RPL19",-0.205073366008781
"NOB1",-0.204342608728004
"RPS8",-0.203986409359539
"CPNE7",-0.203298848245686
"RDH10",-0.203067709638665
"SRCAP",-0.202354997125328
"LIN7B",-0.201562069069951
"IFNA1",-0.20102918660169
"HIST2H2AC",-0.200917062915002
"PILRA",-0.199568181398657
"TEX10",-0.199381498315321
"RPL31",-0.19875820975671
"CTAGE4",-0.198338434348933
"NASP",-0.197432025102655
"SLX4",-0.196503323271683
"AZIN1",-0.195733204645162
