"GeneName",Med(Ess(WT)) – Med(Ess(MT))
"TFR2",4.66344582224776E-05
"PROP1",5.32515280658088E-05
"NPL",5.70219172068565E-05
"NANS",7.09864209548841E-05
"CPSF7",0.000107865533659
"CUL4A",0.00010991899704
"ING4",0.000122717536949
"ALPK3",0.000127769749285
"CD302",0.000143415740227
"ASB13",0.000143725027861
"NEK2",0.000145291187374
"HOXD9",0.000175330194366
"DUSP22",0.000181161032169
"GREM2",0.000182716108983
"PGLS",0.000194713237613
"POTEE",0.000211673444863
"RPL35",0.000211926725581
"CD14",0.000219734592129
"NISCH",0.000221952784221
"DTNB",0.000227248341522
"MYH7",0.000241683059445
"KRTAP9-9",0.000244141317744
"LECT2",0.000251005879612
"KCNMB1",0.00025457473411
"OXCT1",0.000268380556561
"OR8B8",0.000292232056253
"SAE1",0.000298973562913
"MDFIC",0.000303167443833
"SCN4B",0.000311591065563
"IKZF2",0.000324376190755
"ZNF331",0.000335099121875
"TBC1D10B",0.000343559908003
"NTRK1",0.000347538420613
"FMO3",0.000351037975224
"GPR78",0.000356860991643
"HOXA3",0.000358370816187
"ZNF354C",0.000378956668968
"MED20",0.000400290845813
"GPR162",0.000402280603466
"GIT2",0.000402534389932
"DUSP16",0.000413488470326
"RB1CC1",0.000427878551124
"NENF",0.000443377091384
"KCTD12",0.000459984855626
"TWF2",0.000493784982094
"PRTFDC1",0.000498646370419
"SLCO1B3",0.00059985639078
"FGF9",0.000604443231549
"LRRC47",0.000625179942828
"BICD1",0.000646197386575
"AAMP",0.000673866100236
"RBP7",0.00068432334803
"NUP210",0.000704691010618
"IQCF5",0.0007060990878
"MYH10",0.000729294664412
"MORN5",0.000758562603604
"KRT76",0.000760656782879
"OLIG3",0.000782523718668
"FOXF1",0.000797091467848
"SULT1E1",0.000807705434771
"C11orf16",0.00081203455261
"MDP1",0.00081871874386
"PDZD7",0.000819308850791
"PYCR1",0.000832421321255
"SMPD3",0.000839140467371
"ATF1",0.000840693676905
"KIFC3",0.000844518863326
"HFE",0.000846395776386
"CPD",0.000846888544462
"GPBAR1",0.000890978466644
"ITGA8",0.000904393812187
"HSD17B12",0.000917578260541
"MYF5",0.000924444293208
"CD63",0.000950176592108
"FAM91A1",0.000955323483157
"SLC35A5",0.000967889864508
"TRMT61B",0.000993638019982
"KISS1",0.001013091896902
"SLX4IP",0.001036464811424
"SNRNP27",0.00103693575341
"DERA",0.00103929713962
"AVPI1",0.001055508170606
"RAB3C",0.001057531173144
"POLR1B",0.001061779048097
"TMEM199",0.001068034787038
"ZNF566",0.001068545267825
"APPBP2",0.001070217550964
"TSPAN33",0.001086378957223
"ASCC1",0.001094466525847
"NUTM2A",0.001105196262792
"FBXO30",0.001113889615909
"UNC13B",0.001149518391334
"ASPHD2",0.001160461022769
"OR14A16",0.001175810799023
"RND1",0.001178248766056
"HMGB4",0.001186963456347
"ZNF154",0.001231040528066
"NANOS1",0.001232204999583
"CIR1",0.001244030804331
"TCAP",0.001261107478849
"NEDD9",0.00126199863432
"NMUR1",0.00126227922601
"EIF3CL",0.001271055824073
"AHI1",0.001283555204908
"AGAP1",0.001327479211551
"TRIM74",0.001332111439147
"ZNF597",0.001344521249291
"CCDC42",0.001345142778783
"GNPTAB",0.001351355805907
"PTRHD1",0.001361330438617
"FAHD1",0.001376720161372
"TMCO6",0.001397576194072
"MZB1",0.001401530751217
"SCOC",0.001420325004599
"PARM1",0.001453833097815
"CDC42EP1",0.00146720910698
"AGO1",0.001473221455762
"GPR87",0.00148920458995
"GDAP1L1",0.001508161503015
"CLEC4G",0.001518815795326
"ALDH4A1",0.001521022138859
"ETNPPL",0.001533214485325
"ATP1B2",0.001542158922518
"ATP5G1",0.001560312525057
"HIST3H2BB",0.001567892629383
"COX7A1",0.001577495886179
"RNF208",0.00162908327279
"HCN1",0.001671438882642
"CDH24",0.001691636961312
"SNX6",0.001691892040499
"NT5C",0.001704417579955
"TTYH1",0.001709428590142
"CD79B",0.001723098667048
"FBXO15",0.001727032279708
"IL4",0.001744255206067
"PITPNM3",0.001756800803665
"SLC35D2",0.001806645415527
"FCN3",0.001825107190321
"ASPHD1",0.001825469040736
"CCDC136",0.001831739010503
"TLL2",0.001832462660594
"INSL5",0.001832667139308
"A2ML1",0.001837945979111
"ARL3",0.00185660726368
"TLR10",0.00186698714967
"GPX8",0.001885499449499
"DNAJC12",0.001888092068742
"ORM1",0.001891235475229
"ARHGEF17",0.001894445571026
"UBE2W",0.001894993355605
"SH2D2A",0.001901237948031
"MRS2",0.00193179908287
"FAM120B",0.001931913814803
"GDNF",0.001943524177079
"CDH22",0.001965091026302
