"Genename",Med(Ess(WT)) – Med(Ess(MT))
"SETDB1",-0.883206504098355
"CTPS1",-0.84612216654935
"BRD9",-0.645218759572142
"SUPT20H",-0.616550001429055
"SMARCD1",-0.577639318304618
"MED15",-0.576129921362983
"KAT6A",-0.569053541366285
"SEC14L1",-0.568506595942465
"BPTF",-0.545108146947779
"MSTO1",-0.502400710971907
"TADA3",-0.496685549764995
"ZNF217",-0.481923439288963
"USP22",-0.473623034985764
"TAOK1",-0.456245513127754
"SREK1",-0.431460279529746
"ATF7IP",-0.428452558460813
"ISCA1",-0.415802077761729
"PICALM",-0.415530644531447
"GEMIN6",-0.392628377881973
"SRSF6",-0.388891148518455
"WDR37",-0.3805706320347
"PGS1",-0.37668319797818
"OLA1",-0.359796647271169
"ZNF148",-0.351208088867817
"LOXL2",-0.347845497932682
"GNB1L",-0.347074274055704
"ZCRB1",-0.345333152706276
"HNRNPD",-0.335779052995281
"MSMO1",-0.322313684455826
"TXNL4B",-0.320233936318196
"DESI1",-0.318981594999474
"STX8",-0.294082882514192
"USP14",-0.292259463300157
"CCM2",-0.291222757179424
"AP1B1",-0.2882447876764
"FNIP1",-0.28587085407524
"ANKRD12",-0.285050511179811
"C2CD2",-0.282956387222986
"MRPS35",-0.276684606205735
"RASA1",-0.270580724085703
"SIRPA",-0.269427803677268
"KIAA0907",-0.262347577160587
"BCL9L",-0.260289698235906
"CEP55",-0.259019651448332
"SORBS3",-0.258472093790611
"NKIRAS2",-0.248400739607261
"ZNF519",-0.243554971529353
"MCM8",-0.240892736800938
"RFPL1",-0.24061738067768
"HIC2",-0.234649690172853
"KIF2A",-0.234596481614783
"ZNF564",-0.232543184845332
"FXYD7",-0.231794489918589
"OSMR",-0.227772823446212
"ZNF586",-0.223032529665843
"TBX3",-0.221283857913908
"ZCCHC14",-0.219856513644298
"ZNF112",-0.216324187614093
"ZSCAN4",-0.213041774051627
"RFX3",-0.211625936886085
"POLK",-0.210763648176051
"FXYD5",-0.21046585777411
"BIRC2",-0.20904059288777
"IMP4",-0.208165582211902
"ATG10",-0.204098607857627
"APOL1",-0.197646945486701
"CRYBB1",-0.197459893074603
"ZFP42",-0.193779335509093
"ANGPTL5",-0.193624064984711
"WNT1",-0.193562051351936
"PMF1",-0.192972517865576
"CBS",-0.185613659822458
"TFF1",-0.184480603516224
"IBSP",-0.179364423601491
"EIF3K",-0.178295197884788
"PLEKHO1",-0.177161812710841
"PPP4R1",-0.176976474156686
"AKAP12",-0.175575107473326
"UBASH3A",-0.175318423195708
"HTN1",-0.172669231260425
"HPS4",-0.17110589555486
"FGF7",-0.166225002689506
"CHRNB3",-0.162849587212029
"FBXO39",-0.159531336081734
"RANGAP1",-0.158138787507403
"SIGLECL1",-0.157427395612487
"SAMSN1",-0.157322826713617
"SUMF2",-0.15697905529809
"MFAP5",-0.155080175433386
"TAS2R14",-0.154267253992464
"VDAC3",-0.15162973461116
"ZNF669",-0.150874814561958
"LIMK2",-0.150005669965218
"MYL2",-0.148744201440439
"LMAN1L",-0.139700058790095
"SMCO3",-0.139466750178613
"AP4E1",-0.13922445476532
"DLC1",-0.135402857421632
"CLEC7A",-0.1263836273155
"KIAA0930",-0.12282296218768
"TMEM60",-0.112866173792978
"ERAP2",-0.109630035449138
"FBXW10",-0.102060120465441
"FYN",-0.085984948809869
"BTBD16",-0.07082240466511
