id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SLC12A3	4	1.5997e-05	5.9571e-05	0.60231	1	3	-2.6469	0.90824	0.90795	0.999922	17474	0	-2.6469
PI4KA	4	2.1945e-05	8.1047e-05	0.60231	2	4	-2.0954	0.99998	0.99998	1.0	19362	0	-2.0954
ACAP2	4	2.5987e-05	9.3319e-05	0.60231	3	2	-0.4573	0.84702	0.84638	0.999922	16258	0	-0.4573
KCNS3	4	4.6004e-05	0.00016849	0.757426	4	4	-2.4525	0.99957	0.99959	0.999922	19352	0	-2.4525
EXOSC7	4	5.3143e-05	0.00019559	0.757426	5	3	-1.5289	0.87356	0.87314	0.999922	16773	0	-1.5289
COTL1	4	7.7959e-05	0.0002999	0.795922	6	3	-1.6305	0.51894	0.53236	0.999922	10256	1	-1.6305
OCEL1	4	0.00010744	0.00041239	0.795922	7	3	-2.7476	0.50816	0.5239	0.999922	10099	1	-2.7476
ANKRD13B	4	0.00012089	0.00046813	0.795922	8	4	-2.3391	0.98318	0.98319	0.999922	19002	0	-2.3391
SYNPO2L	4	0.00015123	0.00058318	0.795922	9	4	-1.9623	0.99985	0.99986	0.999958	19361	0	-1.9623
PRMT5	4	0.0001819	0.00069005	0.795922	10	1	0.15199	0.6236	0.62356	0.999922	12017	1	0.15199
RP2	4	0.00021403	0.00080612	0.795922	11	2	-1.5762	0.90934	0.90908	0.999922	17495	0	-1.5762
ANKS3	4	0.000233	0.00087566	0.795922	12	4	-1.6739	0.99977	0.99977	0.999922	19360	0	-1.6739
TAF15	4	0.00023386	0.00087873	0.795922	13	3	-1.2288	0.66585	0.66528	0.999922	12820	0	-1.2288
DAP3	4	0.00023458	0.00088129	0.795922	14	4	-1.7037	0.99977	0.99977	0.999922	19359	0	-1.7037
RFC1	4	0.0002446	0.00090788	0.795922	15	3	-2.5046	0.79985	0.79945	0.999922	15373	0	-2.5046
TMEM235	4	0.00025796	0.00095594	0.795922	16	4	-1.938	0.99974	0.99974	0.999922	19358	0	-1.938
XRCC6	4	0.00026675	0.0009948	0.795922	17	4	-1.6997	0.99973	0.99973	0.999922	19357	0	-1.6997
C9orf84	4	0.00028159	0.0010434	0.795922	18	4	-1.9488	0.99972	0.99972	0.999922	19356	0	-1.9488
TBPL1	4	0.00028583	0.0010603	0.795922	19	1	0.042597	0.18888	0.29178	0.999922	5609	2	0.042597
