id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
FBL	4	1.0701e-07	2.5567e-07	0.00495	1	4	-2.0406	1.0	1.0	1.0	19362	0	-2.0406
SEC61A1	4	2.401e-06	5.8804e-06	0.056931	2	4	-2.0266	1.0	1.0	1.0	19361	0	-2.0266
MCM7	4	2.9947e-06	9.971e-06	0.064356	3	4	-1.4493	1.0	1.0	1.0	19360	0	-1.4493
PSMA6	4	6.8894e-06	2.122e-05	0.089934	4	4	-2.7686	0.98257	0.98256	1.0	18679	0	-2.7686
RPS24	4	8.1071e-06	2.5822e-05	0.089934	5	4	-2.6568	0.99863	0.99863	1.0	19209	0	-2.6568
CLTC	4	8.6427e-06	2.7868e-05	0.089934	6	4	-1.7128	0.99999	0.99999	1.0	19359	0	-1.7128
GPR89A	4	1.3733e-05	5.1901e-05	0.109292	7	4	-1.4918	0.99999	0.99999	1.0	19358	0	-1.4918
C3orf17	4	1.3898e-05	5.1901e-05	0.109292	8	4	-1.8598	0.99999	0.99999	1.0	19357	0	-1.8598
FAM96B	4	1.5506e-05	5.548e-05	0.109292	9	3	-4.4557	0.99998	0.99998	1.0	19356	0	-4.4557
HINFP	4	1.634e-05	6.1105e-05	0.109292	10	4	-1.9853	0.99998	0.99998	1.0	19355	0	-1.9853
NUPL1	4	1.7946e-05	6.5707e-05	0.109292	11	4	-1.7639	0.99998	0.99998	1.0	19354	0	-1.7639
COPS3	4	1.9119e-05	7.1331e-05	0.109292	12	4	-2.2605	0.99646	0.99647	1.0	19101	0	-2.2605
HNRNPC	4	1.9829e-05	7.3377e-05	0.109292	13	4	-1.9931	0.98997	0.98997	1.0	18882	0	-1.9931
MED31	4	2.2292e-05	8.2581e-05	0.109653	14	4	-1.6629	0.99998	0.99998	1.0	19353	0	-1.6629
GNL3L	4	2.5768e-05	9.3319e-05	0.109653	15	4	-1.7447	0.99997	0.99997	1.0	19352	0	-1.7447
ZCRB1	4	2.5995e-05	9.3319e-05	0.109653	16	4	-1.481	0.99859	0.99859	1.0	19206	0	-1.481
TAF2	4	2.6993e-05	9.6898e-05	0.109653	17	4	-1.8692	0.99997	0.99997	1.0	19351	0	-1.8692
DNLZ	4	2.8747e-05	0.00010508	0.109653	18	4	-1.5488	0.99997	0.99997	1.0	19350	0	-1.5488
NOP10	4	3.1016e-05	0.00011019	0.109653	19	4	-1.3646	0.99997	0.99997	1.0	19349	0	-1.3646
RPL37	4	3.179e-05	0.00011326	0.109653	20	4	-1.7441	0.99997	0.99997	1.0	19348	0	-1.7441
MGAT1	4	3.4573e-05	0.00012298	0.11339	21	4	-1.3347	0.99997	0.99996	1.0	19347	0	-1.3347
PIK3C3	4	3.9557e-05	0.00014547	0.119481	22	4	-1.473	0.99996	0.99996	1.0	19346	0	-1.473
CHAF1B	4	3.9817e-05	0.0001465	0.119481	23	4	-1.5296	0.99996	0.99996	1.0	19345	0	-1.5296
XRN1	4	4.227e-05	0.00015724	0.119481	24	4	-1.3661	0.99996	0.99996	1.0	19344	0	-1.3661
RARS	4	4.337e-05	0.00016133	0.119481	25	4	-2.0335	0.99996	0.99996	1.0	19343	0	-2.0335
ZNF131	4	4.3537e-05	0.00016184	0.119481	26	4	-1.6305	0.99996	0.99996	1.0	19342	0	-1.6305
PRPF40A	4	4.6466e-05	0.00017002	0.119481	27	3	-1.7653	0.42507	0.44933	1.0	8455	1	-1.7653
RNGTT	4	4.9704e-05	0.0001828	0.119481	28	4	-1.8212	0.9998	0.9998	1.0	19315	0	-1.8212
C9orf114	4	5.169e-05	0.00018996	0.119481	29	4	-1.4821	0.99995	0.99995	1.0	19341	0	-1.4821
CHMP4B	4	5.2526e-05	0.00019252	0.119481	30	4	-1.9292	0.99406	0.99411	1.0	19013	0	-1.9292
RPS23	4	5.5989e-05	0.00020479	0.119481	31	3	-1.7605	0.7338	0.73329	1.0	13793	0	-1.7605
NACA	4	5.6441e-05	0.00020837	0.119481	32	4	-1.8329	0.99994	0.99995	1.0	19340	0	-1.8329
CDC42	4	5.6464e-05	0.00020837	0.119481	33	3	-1.652	0.67006	0.66948	1.0	12584	0	-1.652
PDPK1	4	5.8438e-05	0.00021655	0.119481	34	3	-2.0061	0.17396	0.27099	1.0	5174	1	-2.0061
UBL5	4	5.9198e-05	0.00021962	0.119481	35	4	-1.5901	0.99994	0.99994	1.0	19339	0	-1.5901
FAM20B	4	6.034e-05	0.00022422	0.119481	36	3	-2.3332	0.72589	0.72536	1.0	13634	0	-2.3332
UBA6	4	6.126e-05	0.00022831	0.119481	37	4	-1.3338	0.99994	0.99994	1.0	19338	0	-1.3338
IK	4	6.3453e-05	0.00023803	0.120623	38	4	-1.7976	0.99956	0.99958	1.0	19287	0	-1.7976
SEC61G	4	6.5091e-05	0.00024672	0.120623	39	4	-1.5253	0.99993	0.99994	1.0	19337	0	-1.5253
METTL16	4	6.5715e-05	0.00024928	0.120623	40	4	-1.7296	0.99969	0.99971	1.0	19304	0	-1.7296
CHD2	4	6.7536e-05	0.00025541	0.120623	41	4	-1.4975	0.99993	0.99994	1.0	19336	0	-1.4975
DTL	4	7.1125e-05	0.0002682	0.123645	42	3	-1.9479	0.45271	0.4705	1.0	8873	1	-1.9479
AURKB	4	7.3453e-05	0.00027535	0.123993	43	4	-1.438	0.99993	0.99993	1.0	19335	0	-1.438
PSMD1	4	7.5453e-05	0.00028916	0.12725	44	4	-1.6416	0.99992	0.99993	1.0	19334	0	-1.6416
TOP3A	4	7.7985e-05	0.0002999	0.128612	45	3	-0.55504	0.72016	0.71955	1.0	13527	0	-0.55504
GINS1	4	8.0758e-05	0.0003137	0.128612	46	4	-2.277	0.998	0.99802	1.0	19162	0	-2.277
INO80	4	8.2712e-05	0.00031933	0.128612	47	3	-1.6867	0.74895	0.74852	1.0	14045	0	-1.6867
DHDDS	4	8.4002e-05	0.0003224	0.128612	48	4	-1.7507	0.99992	0.99992	1.0	19333	0	-1.7507
PSMD13	4	8.5406e-05	0.00032547	0.128612	49	4	-1.9889	0.99979	0.9998	1.0	19314	0	-1.9889
TNPO1	4	8.8398e-05	0.00033569	0.13	50	4	-1.758	0.99966	0.99967	1.0	19297	0	-1.758
LONP1	4	9.6051e-05	0.00036586	0.138905	51	4	-1.4868	0.9999	0.99991	1.0	19332	0	-1.4868
NOP16	4	0.00011117	0.00042006	0.155145	52	3	-1.5289	0.91007	0.9098	1.0	17127	0	-1.5289
ANKLE2	4	0.0001123	0.0004262	0.155145	53	4	-1.906	0.99989	0.99989	1.0	19331	0	-1.906
POLR2H	4	0.00011618	0.00044563	0.155145	54	4	-2.1688	0.99988	0.99989	1.0	19330	0	-2.1688
DDX59	4	0.00011659	0.00044716	0.155145	55	4	-1.4561	0.99988	0.99989	1.0	19329	0	-1.4561
SAP18	4	0.0001169	0.0004487	0.155145	56	4	-2.3573	0.98818	0.9882	1.0	18835	0	-2.3573
U2AF1	4	0.00012377	0.00047656	0.155709	57	2	-1.1353	0.811	0.81061	1.0	15219	0	-1.1353
RPLP0	4	0.00012454	0.0004804	0.155709	58	4	-1.5037	0.99988	0.99988	1.0	19328	0	-1.5037
ATP6V1A	4	0.00012997	0.00050188	0.155709	59	3	-1.0848	0.73666	0.73609	1.0	13835	0	-1.0848
RPS18	4	0.0001304	0.00050341	0.155709	60	4	-1.0965	0.99987	0.99987	1.0	19327	0	-1.0965
PPA1	4	0.00013132	0.00050801	0.155709	61	4	-2.2507	0.99987	0.99987	1.0	19326	0	-2.2507
RUVBL2	4	0.00013212	0.0005121	0.155709	62	3	-1.8392	0.99987	0.99987	1.0	19325	0	-1.8392
VEZT	4	0.00013273	0.00051466	0.155709	63	4	-1.6742	0.99432	0.99436	1.0	19023	0	-1.6742
NAA15	4	0.00013277	0.00051466	0.155709	64	4	-1.4386	0.99987	0.99987	1.0	19324	0	-1.4386
CCNA2	4	0.00013784	0.00053102	0.155868	65	3	-2.6158	0.62605	0.62557	1.0	11758	0	-2.6158
NUDC	4	0.00013975	0.00053767	0.155868	66	3	-2.2418	0.97011	0.97005	1.0	18369	0	-2.2418
GTF2B	4	0.00014119	0.00054125	0.155868	67	4	-1.3584	0.99986	0.99986	1.0	19323	0	-1.3584
TRMT6	4	0.00014237	0.00054738	0.155868	68	3	-1.9276	0.94282	0.94274	1.0	17774	0	-1.9276
ANAPC1	4	0.00014579	0.0005617	0.156223	69	2	-0.93397	0.88558	0.8852	1.0	16630	0	-0.93397
RPS17	4	0.00014672	0.00056477	0.156223	70	4	-1.3276	0.99985	0.99986	1.0	19322	0	-1.3276
PTPMT1	4	0.00015057	0.0005796	0.158067	71	4	-1.2178	0.99985	0.99986	1.0	19321	0	-1.2178
LAS1L	4	0.00015335	0.00059289	0.158878	72	4	-1.3323	0.99985	0.99985	1.0	19320	0	-1.3323
ECT2	4	0.00015861	0.00060772	0.158878	73	3	-1.8405	0.82906	0.82847	1.0	15539	0	-1.8405
SMS	4	0.00015887	0.00060926	0.158878	74	4	-1.1629	0.99984	0.99985	1.0	19319	0	-1.1629
CDC27	4	0.00016066	0.00061539	0.158878	75	4	-2.0986	0.99723	0.99724	1.0	19133	0	-2.0986
DLG1	4	0.00016643	0.00063482	0.161738	76	4	-1.7397	0.99983	0.99984	1.0	19318	0	-1.7397
DDX21	4	0.0001712	0.00065119	0.162067	77	4	-2.2245	0.99983	0.99983	1.0	19317	0	-2.2245
SEPSECS	4	0.00017374	0.0006609	0.162067	78	3	-1.7135	0.91822	0.918	1.0	17288	0	-1.7135
ING3	4	0.00017624	0.00066908	0.162067	79	3	-1.8004	0.99982	0.99983	1.0	19316	0	-1.8004
FUBP1	4	0.00017653	0.00066959	0.162067	80	3	-1.3613	0.45479	0.47216	1.0	8897	1	-1.3613
BUB3	4	0.00018196	0.00069056	0.165078	81	3	-0.48356	0.93983	0.93981	1.0	17715	0	-0.48356
SNRPG	4	0.00018537	0.00070436	0.166325	82	4	-2.0792	0.9995	0.99951	1.0	19280	0	-2.0792
FAM50A	4	0.00018965	0.00071817	0.167541	83	4	-2.1778	0.99924	0.99924	1.0	19251	0	-2.1778
HNRNPL	4	0.00019168	0.00072789	0.167786	84	4	-2.0999	0.99653	0.99654	1.0	19105	0	-2.0999
LYRM4	4	0.00020356	0.00077186	0.17583	85	3	-1.467	0.98139	0.9814	1.0	18653	0	-1.467
RSL24D1	4	0.00021218	0.00079998	0.17849	86	4	-1.2145	0.99979	0.99979	1.0	19313	0	-1.2145
NDC1	4	0.00021583	0.00081328	0.17849	87	3	-1.4383	0.75897	0.75854	1.0	14247	0	-1.4383
LCE1C	4	0.00021736	0.00081737	0.17849	88	3	-1.7282	0.90698	0.90671	1.0	17058	0	-1.7282
DCTN5	4	0.00022	0.00082606	0.17849	89	3	-1.4693	0.92852	0.92832	1.0	17494	0	-1.4693
SMU1	4	0.00022298	0.00083629	0.17849	90	4	-1.4911	0.99978	0.99978	1.0	19312	0	-1.4911
INTS5	4	0.00022356	0.00083885	0.17849	91	4	-1.7832	0.98486	0.98486	1.0	18744	0	-1.7832
SENP6	4	0.00023394	0.00087924	0.183839	92	3	-0.62923	0.4659	0.48089	1.0	9052	1	-0.62923
MCM5	4	0.00023595	0.00088614	0.183839	93	4	-1.8376	0.98667	0.98666	1.0	18786	0	-1.8376
KCP	4	0.00024083	0.00089969	0.183839	94	2	-1.24	0.065612	0.12359	0.981717	2431	2	-1.24
ISG20L2	4	0.00024434	0.00090736	0.183839	95	4	-1.4816	0.99976	0.99975	1.0	19311	0	-1.4816
